sample_name,file_name,layout,cell_line,product,method,dose,pretreatment,release,time,replicate,project,lab,SRR
Hela_CPD_XR_NA_early_120_A,R19026421_2019XR1_Hela15X2_combined_R1,single,HeLa_S3,CPD,XR_seq,20J,NA,early,120,A,repair_replication,Hu,SRR11147247
Hela_CPD_XR_NA_late_120_A,R19026421_2019XR1_Hela35X3_combined_R1,single,HeLa_S3,CPD,XR_seq,20J,NA,late,120,A,repair_replication,Hu,SRR11147243
Hela_CPD_XR_NA_early_120_B,R19033030_2019XR3_Hela15X7_combined_R1,single,HeLa_S3,CPD,XR_seq,20J,NA,early,120,B,repair_replication,Hu,SRR11147242
Hela_CPD_XR_NA_late_120_B,R19033030_2019XR3_Hela35X8_combined_R1,single,HeLa_S3,CPD,XR_seq,20J,NA,late,120,B,repair_replication,Hu,SRR11147241
Hela_64_XR_NA_async_12_C,R18069478_HelaX6D1_combined_R1,single,HeLa_S3,64_PP,XR_seq,20J,NA,async,12,A,TCR,Hu,NA
Hela_64_XR_NA_async_12_D,R18069478_HelaX6D5_combined_R1,single,HeLa_S3,64_PP,XR_seq,20J,NA,async,12,B,TCR,Hu,NA
Hela_64_XR_cisp_async_12_C,R18069478_HelaX6P2_combined_R1,single,HeLa_S3,64_PP,XR_seq,20J,cisplatin,async,12,A,TCR,Hu,NA
Hela_64_XR_cisp_async_12_D,R18069478_HelaX6P6_combined_R1,single,HeLa_S3,64_PP,XR_seq,20J,cisplatin,async,12,B,TCR,Hu,NA
Hela_CPD_XR_NA_async_12_C,R18069478_HelaXCD3_combined_R1,single,HeLa_S3,CPD,XR_seq,20J,NA,async,12,A,TCR,Hu,NA
Hela_CPD_XR_NA_async_12_D,R18069478_HelaXCD7_combined_R1,single,HeLa_S3,CPD,XR_seq,20J,NA,async,12,B,TCR,Hu,NA
Hela_CPD_XR_cisp_async_12_C,R18069478_HelaXCP4_combined_R1,single,HeLa_S3,CPD,XR_seq,20J,cisplatin,async,12,A,TCR,Hu,NA
Hela_CPD_XR_cisp_async_12_D,R18069478_HelaXCP8_combined_R1,single,HeLa_S3,CPD,XR_seq,20J,cisplatin,async,12,B,TCR,Hu,NA
Hela_CPD_DS_NA_early_120_A,NT4H1_CT5H2_HelaD1_5R2h2_combined,paired,HeLa_S3,CPD,Damage_seq,20J,NA,early,120,A,repair_replication,Hu,SRR11147240
Hela_CPD_DS_NA_late_120_A,XT4H1_CT5H2_HelaD3_5R2h2_combined,paired,HeLa_S3,CPD,Damage_seq,20J,NA,late,120,A,repair_replication,Hu,SRR11147239
Hela_CPD_DS_NA_early_120_B,R19029847_HD2TCD4_HelaD1_5R2h1_combined,paired,HeLa_S3,CPD,Damage_seq,20J,NA,early,120,B,repair_replication,Hu,SRR11147236
Hela_CPD_DS_NA_late_120_B,R19029847_HD2TCD4_HelaD3_5R2h1_combined,paired,HeLa_S3,CPD,Damage_seq,20J,NA,late,120,B,repair_replication,Hu,SRR11147235
Hela_64_XR_NA_async_12_A,HXA64A1_ATCACG,single,HeLa_S3,64_PP,XR_seq,20J,NA,async,12,A,repair_replication,Sancar,SRR11147261
Hela_64_XR_NA_async_12_B,HXA64B7_CAGATC,single,HeLa_S3,64_PP,XR_seq,20J,NA,async,12,B,repair_replication,Sancar,SRR11147260
Hela_64_XR_NA_early_12_A,HXE64A2_CGATGT,single,HeLa_S3,64_PP,XR_seq,20J,NA,early,12,A,repair_replication,Sancar,SRR11147252
