sample_name,read
Hela_CPD_DS_NA_early_120_A,16514149
Hela_CPD_DS_NA_late_120_A,25500960
Hela_CPD_DS_NA_early_120_B,17638951
Hela_CPD_DS_NA_late_120_B,25711511
Hela_64_DS_NA_async_12_A,9835723
Hela_64_DS_NA_async_12_B,8877865
Hela_64_DS_NA_early_12_A,9544517
Hela_64_DS_NA_early_12_B,9692915
Hela_64_DS_NA_late_12_A,9022202
Hela_64_DS_NA_late_12_B,8375414
Hela_CPD_DS_NA_async_12_A,9059727
Hela_CPD_DS_NA_async_12_B,7886018
Hela_CPD_DS_NA_early_12_A,10329395
Hela_CPD_DS_NA_early_12_B,8154469
Hela_CPD_DS_NA_late_12_A,10329039
Hela_CPD_DS_NA_late_12_B,9466889
Hela_64_XR_NA_async_12_A,19198923
Hela_64_XR_NA_async_12_B,18795005
Hela_64_XR_NA_early_12_A,16621011
Hela_64_XR_NA_early_12_B,23571609
Hela_64_XR_NA_late_12_A,16630907
Hela_64_XR_NA_late_12_B,19126187
Hela_CPD_XR_NA_async_12_A,12366057
Hela_CPD_XR_NA_async_12_B,16466364
Hela_CPD_XR_NA_early_12_A,8549744
Hela_CPD_XR_NA_early_12_B,16369940
Hela_CPD_XR_NA_late_12_A,12192359
Hela_CPD_XR_NA_late_12_B,18491776
Hela_CPD_XR_NA_early_120_A,54432136
Hela_CPD_XR_NA_late_120_A,51595665
Hela_CPD_XR_NA_early_120_B,64247620
Hela_CPD_XR_NA_late_120_B,67321767
Hela_NA_DNAseq_NA_early_NA_NA,67907548
Hela_NA_DNAseq_NA_async_NA_NA,92553708
Hela_NA_DNAseq_NA_late_NA_NA,77847691
