oligomer_length,counts,sample
12,2,CPD 12 min.
13,36,CPD 12 min.
14,257,CPD 12 min.
15,1117,CPD 12 min.
16,4431,CPD 12 min.
17,12999,CPD 12 min.
18,30414,CPD 12 min.
19,63758,CPD 12 min.
20,125528,CPD 12 min.
21,240119,CPD 12 min.
22,480293,CPD 12 min.
23,955328,CPD 12 min.
24,1771495,CPD 12 min.
25,2540243,CPD 12 min.
26,2450796,CPD 12 min.
27,1600213,CPD 12 min.
28,710807,CPD 12 min.
29,210914,CPD 12 min.
30,42882,CPD 12 min.
31,6761,CPD 12 min.
32,908,CPD 12 min.
33,188,CPD 12 min.
34,67,CPD 12 min.
35,52,CPD 12 min.
36,48,CPD 12 min.
37,53,CPD 12 min.
38,43,CPD 12 min.
39,45,CPD 12 min.
40,44,CPD 12 min.
41,43,CPD 12 min.
42,39,CPD 12 min.
43,50,CPD 12 min.
44,41,CPD 12 min.
45,39,CPD 12 min.
46,43,CPD 12 min.
47,38,CPD 12 min.
49,1,CPD 12 min.
50,94,CPD 12 min.
51,1,CPD 12 min.
52,1,CPD 12 min.
