dinucleotides,positions,counts,freq,product,method
CC,-6--5,612934,5.79850348444334,(6-4)PP,Damage-seq
CT,-6--5,854766,8.0862925362008,(6-4)PP,Damage-seq
TC,-6--5,846691,8.00990108844805,(6-4)PP,Damage-seq
TT,-6--5,1294909,12.2501514821123,(6-4)PP,Damage-seq
CC,-5--4,697695,6.60036298945514,(6-4)PP,Damage-seq
CT,-5--4,983508,9.30422290977153,(6-4)PP,Damage-seq
TC,-5--4,905875,8.56979600408872,(6-4)PP,Damage-seq
TT,-5--4,1337126,12.6495344851808,(6-4)PP,Damage-seq
CC,-4--3,1480044,14.0015732381129,(6-4)PP,Damage-seq
CT,-4--3,516311,4.88442659822497,(6-4)PP,Damage-seq
TC,-4--3,2191918,20.736072987653,(6-4)PP,Damage-seq
TT,-4--3,371783,3.51715685694838,(6-4)PP,Damage-seq
CC,-3--2,184970,1.74986081620123,(6-4)PP,Damage-seq
CT,-3--2,5538132,52.3920645604701,(6-4)PP,Damage-seq
TC,-3--2,387224,3.66323244143756,(6-4)PP,Damage-seq
TT,-3--2,682180,6.45358734711659,(6-4)PP,Damage-seq
CC,-2--1,199525,1.88755462698032,(6-4)PP,Damage-seq
CT,-2--1,353080,3.34022196563946,(6-4)PP,Damage-seq
TC,-2--1,3567393,33.7483982629105,(6-4)PP,Damage-seq
TT,-2--1,4902157,46.3755876583585,(6-4)PP,Damage-seq
CC,-1-0,971441,9.19006617911737,(6-4)PP,Damage-seq
CT,-1-0,732960,6.93397839564715,(6-4)PP,Damage-seq
TC,-1-0,1128154,10.6726089595106,(6-4)PP,Damage-seq
TT,-1-0,1289579,12.1997283964749,(6-4)PP,Damage-seq
CC,0-1,758365,7.17431582353055,(6-4)PP,Damage-seq
CT,0-1,657265,6.217885437425,(6-4)PP,Damage-seq
TC,0-1,349214,3.30364867313022,(6-4)PP,Damage-seq
TT,0-1,581676,5.50279526477087,(6-4)PP,Damage-seq
CC,1-2,598861,5.66536950992639,(6-4)PP,Damage-seq
CT,1-2,481332,4.55351682101839,(6-4)PP,Damage-seq
TC,1-2,457873,4.33158902252531,(6-4)PP,Damage-seq
TT,1-2,736254,6.96514043018555,(6-4)PP,Damage-seq
CC,2-3,560446,5.30195434392991,(6-4)PP,Damage-seq
CT,2-3,725146,6.86005607084964,(6-4)PP,Damage-seq
TC,2-3,450176,4.2587735459491,(6-4)PP,Damage-seq
TT,2-3,769302,7.27778248161993,(6-4)PP,Damage-seq
