dinucleotides,positions,counts,freq,product
CC,-6--5,595541,5.10084328136284,CPD
CT,-6--5,881743,7.55218004711467,CPD
TC,-6--5,845885,7.24505419283577,CPD
TT,-6--5,1587486,13.5969098640691,CPD
CC,-5--4,667675,5.71867518421727,CPD
CT,-5--4,944716,8.09154745247763,CPD
TC,-5--4,933386,7.99450534391107,CPD
TT,-5--4,1609923,13.7890840732402,CPD
CC,-4--3,643807,5.51424437686804,CPD
CT,-4--3,1225811,10.4991424663804,CPD
TC,-4--3,835540,7.15644866652323,CPD
TT,-4--3,2111101,18.0817027746677,CPD
CC,-3--2,298118,2.55339799838018,CPD
CT,-3--2,1897304,16.2505190425224,CPD
TC,-3--2,647607,5.5467915977465,CPD
TT,-3--2,4341925,37.1888400033438,CPD
CC,-2--1,322750,2.7643725101376,CPD
CT,-2--1,1231148,10.5448541815984,CPD
TC,-2--1,1350475,11.5668968725889,CPD
TT,-2--1,7430051,63.6388186934792,CPD
CC,-1-0,206365,1.76752822015351,CPD
CT,-1-0,396370,3.39493208936713,CPD
TC,-1-0,1458902,12.495580430007,CPD
TT,-1-0,2760802,23.6464296041299,CPD
CC,0-1,508112,4.35200881447262,CPD
CT,0-1,580578,4.97268431662485,CPD
TC,0-1,459155,3.93268926380242,CPD
TT,0-1,962255,8.24177000694798,CPD
CC,1-2,605046,5.18225415884962,CPD
CT,1-2,439086,3.76079711227352,CPD
TC,1-2,552616,4.73318816130814,CPD
TT,1-2,1020440,8.74012791400408,CPD
CC,2-3,562103,4.81444486774865,CPD
CT,2-3,867467,7.42990527730917,CPD
TC,2-3,474932,4.06782018585491,CPD
TT,2-3,1104750,9.46224796459959,CPD
