dataset,chromosomes,start_position,end_position,score,dataset_strand,counts,sample_names,file_names,layout,cell_line,product,method,uv_exposure,treatment,phase,time_after_exposure,replicate,project,sample_source,sample_strand,mapped_reads,RPKM,windows,repdomains
iz,.,0,100,0,.,0.329655172413793,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.185619912024239,-100,LRD
iz,.,0,100,0,.,0.288275862068965,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.162320341477263,-100,LRD
iz,.,0,100,0,.,0.300689655172414,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.169310212641356,-91,LRD
iz,.,0,100,0,.,0.358620689655172,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.201929611407122,-91,LRD
iz,.,0,100,0,.,0.311034482758621,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.1751351052781,-1,LRD
iz,.,0,100,0,.,0.308965517241379,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.173970126750751,-1,LRD
iz,.,0,100,0,.,0.311724137931034,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.175523431453883,0,LRD
iz,.,0,100,0,.,0.339310344827586,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.1910564784852,0,LRD
iz,.,0,100,0,.,0.342758620689655,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.192998109364115,1,LRD
iz,.,0,100,0,.,0.349655172413793,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.196881371121944,1,LRD
iz,.,0,100,0,.,0.32,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.180183345563278,2,LRD
iz,.,0,100,0,.,0.312413793103448,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.175911757629666,2,LRD
iz,.,0,100,0,.,0.327586206896552,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.18445493349689,3,LRD
iz,.,0,100,0,.,0.353103448275862,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.198823002000858,3,LRD
iz,.,0,100,0,.,0.316551724137931,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.178241714684363,4,LRD
iz,.,0,100,0,.,0.328965517241379,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.185231585848456,4,LRD
iz,.,0,100,0,.,0.331034482758621,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.186396564375805,5,LRD
iz,.,0,100,0,.,0.335172413793103,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.188726521430502,5,LRD
iz,.,0,100,0,.,0.329655172413793,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.185619912024239,6,LRD
iz,.,0,100,0,.,0.32,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.180183345563278,6,LRD
iz,.,0,100,0,.,0.324137931034483,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.182513302617975,7,LRD
iz,.,0,100,0,.,0.364137931034483,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.205036220813385,7,LRD
iz,.,0,100,0,.,0.320689655172414,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.180571671739061,8,LRD
iz,.,0,100,0,.,0.363448275862069,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.204647894637602,8,LRD
iz,.,0,100,0,.,0.289655172413793,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.163096993828829,-90,LRD
iz,.,0,100,0,.,0.358620689655172,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.201929611407122,-90,LRD
iz,.,0,100,0,.,0.324827586206897,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.182901628793758,9,LRD
iz,.,0,100,0,.,0.329655172413793,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.185619912024239,9,LRD
iz,.,0,100,0,.,0.350344827586207,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.197269697297727,10,LRD
iz,.,0,100,0,.,0.309655172413793,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.174358452926534,10,LRD
iz,.,0,100,0,.,0.338620689655172,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.190668152309417,11,LRD
iz,.,0,100,0,.,0.361379310344828,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.203482916110253,11,LRD
iz,.,0,100,0,.,0.319310344827586,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.179795019387495,12,LRD
iz,.,0,100,0,.,0.340689655172414,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.191833130836766,12,LRD
iz,.,0,100,0,.,0.324827586206897,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.182901628793758,13,LRD
iz,.,0,100,0,.,0.304137931034483,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.171251843520271,13,LRD
iz,.,0,100,0,.,0.346896551724138,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.195328066418812,14,LRD
iz,.,0,100,0,.,0.335862068965517,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.189114847606285,14,LRD
iz,.,0,100,0,.,0.333103448275862,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.187561542903154,15,LRD
iz,.,0,100,0,.,0.293793103448276,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.165426950883527,15,LRD
iz,.,0,100,0,.,0.313793103448276,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.176688409981232,16,LRD
iz,.,0,100,0,.,0.299310344827586,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.16853356028979,16,LRD
iz,.,0,100,0,.,0.340689655172414,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.191833130836766,17,LRD
iz,.,0,100,0,.,0.335862068965517,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.189114847606285,17,LRD
iz,.,0,100,0,.,0.327586206896552,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,17759688,0.18445493349689,18,LRD
iz,.,0,100,0,.,0.356551724137931,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.200764632879773,18,LRD
iz,.,0,100,0,.,0.299310344827586,Hela_CPD_DS_NA_late_12_NA,HDLC_comb,single,HeLa_S3,CPD,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,17759688,0.16853356028979,-89,LRD
