chromosomes,start_position,end_position,dataset,score,dataset_strand,product,windows,phase,time_after_exposure,repdomains,sample_strand,replicate,real,sim,xr_ds,direction,log2val
.,0,100,Initiation Zones,0,.,CPD,-1,late,12,ERD,-,_,1.54099772971476,1.38003629943875,1.11663564961405,Left Replicating,0.159158521324349
.,0,100,Initiation Zones,0,.,CPD,-1,late,12,ERD,+,_,1.62044739019561,1.39219508699631,1.16395137817341,Left Replicating,0.21903079369878
.,0,100,Initiation Zones,0,.,CPD,-1,late,12,LRD,-,_,0.43173597536302,0.779389362079794,0.553941324283586,Left Replicating,-0.852194926642195
.,0,100,Initiation Zones,0,.,CPD,-1,late,12,LRD,+,_,0.445649458386476,0.772713229524991,0.576733309795187,Left Replicating,-0.794023745825873
.,0,100,Initiation Zones,0,.,CPD,-10,late,12,ERD,-,_,1.66777683415091,1.4304172975199,1.16593726672807,Left Replicating,0.221490166398549
.,0,100,Initiation Zones,0,.,CPD,-10,late,12,ERD,+,_,1.60582591006828,1.54420504714044,1.03990458588511,Left Replicating,0.0564511631882593
.,0,100,Initiation Zones,0,.,CPD,-10,late,12,LRD,-,_,0.391560953757291,0.713822417581251,0.548541127475478,Left Replicating,-0.866328302553279
.,0,100,Initiation Zones,0,.,CPD,-10,late,12,LRD,+,_,0.449687750207211,0.654543740329176,0.687024750983118,Left Replicating,-0.541566019894384
.,0,100,Initiation Zones,0,.,CPD,-100,late,12,ERD,-,_,1.63740886972769,1.47707010174304,1.10855190135894,Left Replicating,0.148676317413403
.,0,100,Initiation Zones,0,.,CPD,-100,late,12,ERD,+,_,1.69312130155095,1.54367930241158,1.09680896731977,Left Replicating,0.133312271502276
.,0,100,Initiation Zones,0,.,CPD,-100,late,12,LRD,-,_,0.300437837114478,0.812106612088657,0.369948763674984,Left Replicating,-1.43460261741731
.,0,100,Initiation Zones,0,.,CPD,-100,late,12,LRD,+,_,0.351532018413738,0.714614490462962,0.491918402306674,Left Replicating,-1.02350906865315
.,0,100,Initiation Zones,0,.,CPD,-11,late,12,ERD,-,_,1.53596799293567,1.41464796425212,1.08575987224333,Left Replicating,0.118705070518486
.,0,100,Initiation Zones,0,.,CPD,-11,late,12,ERD,+,_,1.67701597403365,1.56939647388859,1.06857381288643,Left Replicating,0.0956865671527876
.,0,100,Initiation Zones,0,.,CPD,-11,late,12,LRD,-,_,0.437671079336079,0.708785851783924,0.617494096749415,Left Replicating,-0.695502750305113
.,0,100,Initiation Zones,0,.,CPD,-11,late,12,LRD,+,_,0.431010094971183,0.649109930843156,0.664001696001363,Left Replicating,-0.590741168360899
.,0,100,Initiation Zones,0,.,CPD,-12,late,12,ERD,-,_,1.48791090971772,1.50770089521745,0.986874063972164,Left Replicating,-0.0190621022776114
.,0,100,Initiation Zones,0,.,CPD,-12,late,12,ERD,+,_,1.47925660556855,1.49297636428527,0.990810464890859,Left Replicating,-0.0133189885493372
.,0,100,Initiation Zones,0,.,CPD,-12,late,12,LRD,-,_,0.486284997863081,0.725950913049625,0.669859337761917,Left Replicating,-0.578069915762505
.,0,100,Initiation Zones,0,.,CPD,-12,late,12,LRD,+,_,0.36647718092235,0.680309934720522,0.538691502532449,Left Replicating,-0.892468786998243
.,0,100,Initiation Zones,0,.,CPD,-13,late,12,ERD,-,_,1.56171806403822,1.45537501578566,1.07306917261813,Left Replicating,0.101743078682098
.,0,100,Initiation Zones,0,.,CPD,-13,late,12,ERD,+,_,1.66250325853577,1.4367399440389,1.15713582366355,Left Replicating,0.21055821675745
.,0,100,Initiation Zones,0,.,CPD,-13,late,12,LRD,-,_,0.39817666635371,0.66037786732121,0.602952773037191,Left Replicating,-0.729883089069318
.,0,100,Initiation Zones,0,.,CPD,-13,late,12,LRD,+,_,0.42746450433467,0.6558330400136,0.651788608158268,Left Replicating,-0.617523957749818
.,0,100,Initiation Zones,0,.,CPD,-14,late,12,ERD,-,_,1.7317019343987,1.41381963397368,1.22483935912785,Left Replicating,0.292592548422432
.,0,100,Initiation Zones,0,.,CPD,-14,late,12,ERD,+,_,1.65755771949938,1.53696435807765,1.07846204161336,Left Replicating,0.108975399178116
.,0,100,Initiation Zones,0,.,CPD,-14,late,12,LRD,-,_,0.373015124434158,0.800541405677335,0.465953568158728,Left Replicating,-1.10174189606924
.,0,100,Initiation Zones,0,.,CPD,-14,late,12,LRD,+,_,0.497067557879138,0.623149254190715,0.797670148100684,Left Replicating,-0.326135807183694
.,0,100,Initiation Zones,0,.,CPD,-15,late,12,ERD,-,_,1.48932116791657,1.5829828140621,0.940832177511021,Left Replicating,-0.0879906920879555
.,0,100,Initiation Zones,0,.,CPD,-15,late,12,ERD,+,_,1.53045406103777,1.57764613820033,0.970087032814343,Left Replicating,-0.0438139082298693
.,0,100,Initiation Zones,0,.,CPD,-15,late,12,LRD,-,_,0.451378493106676,0.79697096292588,0.56636755177322,Left Replicating,-0.820189481720748
.,0,100,Initiation Zones,0,.,CPD,-15,late,12,LRD,+,_,0.407939579712062,0.660700113985784,0.617435310024541,Left Replicating,-0.695640104417899
.,0,100,Initiation Zones,0,.,CPD,-16,late,12,ERD,-,_,1.54836801890122,1.38900987957646,1.11472786599138,Left Replicating,0.156691553819577
.,0,100,Initiation Zones,0,.,CPD,-16,late,12,ERD,+,_,1.58339434805764,1.38225144598681,1.14551831553863,Left Replicating,0.19600052588441
.,0,100,Initiation Zones,0,.,CPD,-16,late,12,LRD,-,_,0.366464927575538,0.770702233998272,0.475494829792279,Left Replicating,-1.07249844060193
.,0,100,Initiation Zones,0,.,CPD,-16,late,12,LRD,+,_,0.434508221926814,0.681777977618933,0.637316305587204,Left Replicating,-0.649918522653125
.,0,100,Initiation Zones,0,.,CPD,-17,late,12,ERD,-,_,1.65703058386766,1.46516292680014,1.13095312033765,Left Replicating,0.177539128745844
.,0,100,Initiation Zones,0,.,CPD,-17,late,12,ERD,+,_,1.661829542186,1.42711685674726,1.16446633947952,Left Replicating,0.219668937043117
.,0,100,Initiation Zones,0,.,CPD,-17,late,12,LRD,-,_,0.397240765865967,0.778431012044255,0.510309532533609,Left Replicating,-0.970555503506834
.,0,100,Initiation Zones,0,.,CPD,-17,late,12,LRD,+,_,0.48122121152214,0.706326179623671,0.681301678182924,Left Replicating,-0.553634334469268
.,0,100,Initiation Zones,0,.,CPD,-18,late,12,ERD,-,_,1.46258699578058,1.42028735817238,1.029782450266,Left Replicating,0.0423395887943703
.,0,100,Initiation Zones,0,.,CPD,-18,late,12,ERD,+,_,1.47495014704785,1.49566643820255,0.986149123477292,Left Replicating,-0.0201222703593739
.,0,100,Initiation Zones,0,.,CPD,-18,late,12,LRD,-,_,0.372009067044605,0.865648342758615,0.429746178291177,Left Replicating,-1.21844328493361
.,0,100,Initiation Zones,0,.,CPD,-18,late,12,LRD,+,_,0.387493603879731,0.654393788313171,0.592141323466062,Left Replicating,-0.755986556986856
.,0,100,Initiation Zones,0,.,CPD,-19,late,12,ERD,-,_,1.66106017927623,1.64206888861137,1.01156546524727,Left Replicating,0.0165896894774017
.,0,100,Initiation Zones,0,.,CPD,-19,late,12,ERD,+,_,1.75917195463197,1.41445305836988,1.24371179674168,Left Replicating,0.314652210884181
