repdomains,log2val,sample_strand,direction,windows
ERD,0.159158521324349,-,Left Replicating,-1
ERD,0.21903079369878,+,Left Replicating,-1
LRD,-0.852194926642195,-,Left Replicating,-1
LRD,-0.794023745825873,+,Left Replicating,-1
ERD,0.221490166398549,-,Left Replicating,-10
ERD,0.0564511631882593,+,Left Replicating,-10
LRD,-0.866328302553279,-,Left Replicating,-10
LRD,-0.541566019894384,+,Left Replicating,-10
ERD,0.148676317413403,-,Left Replicating,-100
ERD,0.133312271502276,+,Left Replicating,-100
LRD,-1.43460261741731,-,Left Replicating,-100
LRD,-1.02350906865315,+,Left Replicating,-100
ERD,0.118705070518486,-,Left Replicating,-11
ERD,0.0956865671527876,+,Left Replicating,-11
LRD,-0.695502750305113,-,Left Replicating,-11
LRD,-0.590741168360899,+,Left Replicating,-11
ERD,-0.0190621022776114,-,Left Replicating,-12
ERD,-0.0133189885493372,+,Left Replicating,-12
LRD,-0.578069915762505,-,Left Replicating,-12
LRD,-0.892468786998243,+,Left Replicating,-12
ERD,0.101743078682098,-,Left Replicating,-13
ERD,0.21055821675745,+,Left Replicating,-13
LRD,-0.729883089069318,-,Left Replicating,-13
LRD,-0.617523957749818,+,Left Replicating,-13
ERD,0.292592548422432,-,Left Replicating,-14
ERD,0.108975399178116,+,Left Replicating,-14
LRD,-1.10174189606924,-,Left Replicating,-14
LRD,-0.326135807183694,+,Left Replicating,-14
ERD,-0.0879906920879555,-,Left Replicating,-15
ERD,-0.0438139082298693,+,Left Replicating,-15
LRD,-0.820189481720748,-,Left Replicating,-15
LRD,-0.695640104417899,+,Left Replicating,-15
ERD,0.156691553819577,-,Left Replicating,-16
ERD,0.19600052588441,+,Left Replicating,-16
LRD,-1.07249844060193,-,Left Replicating,-16
LRD,-0.649918522653125,+,Left Replicating,-16
ERD,0.177539128745844,-,Left Replicating,-17
ERD,0.219668937043117,+,Left Replicating,-17
LRD,-0.970555503506834,-,Left Replicating,-17
LRD,-0.553634334469268,+,Left Replicating,-17
ERD,0.0423395887943703,-,Left Replicating,-18
ERD,-0.0201222703593739,+,Left Replicating,-18
LRD,-1.21844328493361,-,Left Replicating,-18
LRD,-0.755986556986856,+,Left Replicating,-18
ERD,0.0165896894774017,-,Left Replicating,-19
ERD,0.314652210884181,+,Left Replicating,-19
LRD,-0.8911127344256,-,Left Replicating,-19
LRD,-0.0604155767312926,+,Left Replicating,-19
ERD,0.116309432426533,-,Left Replicating,-2
ERD,-0.130570082041028,+,Left Replicating,-2
LRD,-0.728652527208606,-,Left Replicating,-2
LRD,-0.607529096690442,+,Left Replicating,-2
ERD,0.0864843563853154,-,Left Replicating,-20
ERD,0.241526712436106,+,Left Replicating,-20
LRD,-0.952428064269096,-,Left Replicating,-20
LRD,-0.516351852239327,+,Left Replicating,-20
ERD,0.062054084986918,-,Left Replicating,-21
ERD,0.19139056327732,+,Left Replicating,-21
LRD,-1.04478176860571,-,Left Replicating,-21
LRD,-0.80447592990755,+,Left Replicating,-21
ERD,0.116495344199394,-,Left Replicating,-22
ERD,-0.0239671090518932,+,Left Replicating,-22
