repdomains,log2val,sample_strand,direction,windows
ERD,-0.226021114349535,-,Left Replicating,-1
ERD,-0.0748617194044094,+,Left Replicating,-1
LRD,-0.122296879331329,-,Left Replicating,-1
LRD,-0.103135601090291,+,Left Replicating,-1
ERD,-0.220408429206536,-,Left Replicating,-10
ERD,-0.233859919076901,+,Left Replicating,-10
LRD,-0.31280256562033,-,Left Replicating,-10
LRD,-0.107557798252286,+,Left Replicating,-10
ERD,-0.256008053313991,-,Left Replicating,-100
ERD,-0.13420613192534,+,Left Replicating,-100
LRD,-0.591353303610093,-,Left Replicating,-100
LRD,-0.00208127035143229,+,Left Replicating,-100
ERD,-0.132086734863882,-,Left Replicating,-11
ERD,-0.184166777984777,+,Left Replicating,-11
LRD,-0.320858169830875,-,Left Replicating,-11
LRD,-0.127681895032931,+,Left Replicating,-11
ERD,-0.275996732511886,-,Left Replicating,-12
ERD,-0.326619867128419,+,Left Replicating,-12
LRD,-0.155643165759453,-,Left Replicating,-12
LRD,-0.166716357831621,+,Left Replicating,-12
ERD,-0.219423784051734,-,Left Replicating,-13
ERD,-0.22098599101815,+,Left Replicating,-13
LRD,-0.337215006481962,-,Left Replicating,-13
LRD,0.00316089760472521,+,Left Replicating,-13
ERD,-0.194736032247803,-,Left Replicating,-14
ERD,-0.239907618276393,+,Left Replicating,-14
LRD,-0.360250768353862,-,Left Replicating,-14
LRD,0.0328447436638972,+,Left Replicating,-14
ERD,-0.294840001885745,-,Left Replicating,-15
ERD,-0.153263333872307,+,Left Replicating,-15
LRD,-0.372545686046212,-,Left Replicating,-15
LRD,-0.0356552607196638,+,Left Replicating,-15
ERD,-0.204563985622139,-,Left Replicating,-16
ERD,-0.229481291874892,+,Left Replicating,-16
LRD,-0.427796652625848,-,Left Replicating,-16
LRD,0.0423608591899976,+,Left Replicating,-16
ERD,-0.0903547666252275,-,Left Replicating,-17
ERD,-0.270205270178651,+,Left Replicating,-17
LRD,-0.31535447711322,-,Left Replicating,-17
LRD,-0.183320583646388,+,Left Replicating,-17
ERD,-0.329287155886099,-,Left Replicating,-18
ERD,-0.242076209093834,+,Left Replicating,-18
LRD,-0.264332943982912,-,Left Replicating,-18
LRD,-0.278108888563718,+,Left Replicating,-18
ERD,-0.329627349328871,-,Left Replicating,-19
ERD,-0.154562999982677,+,Left Replicating,-19
LRD,-0.312481788279327,-,Left Replicating,-19
LRD,-0.0083325896092928,+,Left Replicating,-19
ERD,-0.267644225722722,-,Left Replicating,-2
ERD,-0.368982459792625,+,Left Replicating,-2
LRD,-0.169932237853766,-,Left Replicating,-2
LRD,-0.104532997595422,+,Left Replicating,-2
ERD,-0.13340010671509,-,Left Replicating,-20
ERD,-0.243459387293905,+,Left Replicating,-20
LRD,-0.369036224002283,-,Left Replicating,-20
LRD,-0.225358682966233,+,Left Replicating,-20
ERD,-0.149742103717216,-,Left Replicating,-21
ERD,-0.262578800536552,+,Left Replicating,-21
LRD,-0.364446453273587,-,Left Replicating,-21
LRD,-0.100974234437774,+,Left Replicating,-21
ERD,-0.140491602620269,-,Left Replicating,-22
ERD,-0.256630217037673,+,Left Replicating,-22
LRD,-0.349422468540894,-,Left Replicating,-22
LRD,-0.0718948172149405,+,Left Replicating,-22
ERD,-0.267576671703555,-,Left Replicating,-23
ERD,-0.147619410490852,+,Left Replicating,-23
LRD,-0.343179399446024,-,Left Replicating,-23
LRD,-0.14680771834771,+,Left Replicating,-23
ERD,-0.272644123736414,-,Left Replicating,-24
ERD,-0.172984900301378,+,Left Replicating,-24
LRD,-0.293455460059293,-,Left Replicating,-24
LRD,0.026709045161478,+,Left Replicating,-24
ERD,-0.271084621550582,-,Left Replicating,-25
ERD,-0.227699653483884,+,Left Replicating,-25
LRD,-0.359972166542874,-,Left Replicating,-25
LRD,-0.0227929003691003,+,Left Replicating,-25
ERD,-0.170051367476862,-,Left Replicating,-26
ERD,-0.200546306489146,+,Left Replicating,-26
LRD,-0.341150670919024,-,Left Replicating,-26
LRD,-0.130324389556381,+,Left Replicating,-26
ERD,-0.24149860668024,-,Left Replicating,-27
ERD,-0.203918129654739,+,Left Replicating,-27
LRD,-0.360945633368198,-,Left Replicating,-27
LRD,-0.0925826227176441,+,Left Replicating,-27
ERD,-0.170322392130232,-,Left Replicating,-28
ERD,-0.113044457564161,+,Left Replicating,-28
LRD,-0.289804206215014,-,Left Replicating,-28
LRD,-0.107662224185858,+,Left Replicating,-28
ERD,-0.264524847716757,-,Left Replicating,-29
ERD,-0.114067495228822,+,Left Replicating,-29
LRD,-0.359304318169636,-,Left Replicating,-29
LRD,0.0387907291083769,+,Left Replicating,-29
ERD,-0.124490186116428,-,Left Replicating,-3
ERD,-0.236311781236338,+,Left Replicating,-3
LRD,-0.248637653605495,-,Left Replicating,-3
LRD,-0.041300681926632,+,Left Replicating,-3
ERD,-0.229005262239505,-,Left Replicating,-30
ERD,-0.0679212889884659,+,Left Replicating,-30
LRD,-0.413649101676602,-,Left Replicating,-30
LRD,-0.105522975109442,+,Left Replicating,-30
ERD,-0.31515571856146,-,Left Replicating,-31
ERD,-0.235241478758349,+,Left Replicating,-31
LRD,-0.334161107968071,-,Left Replicating,-31
LRD,-0.107502346795798,+,Left Replicating,-31
ERD,-0.293276789287847,-,Left Replicating,-32
ERD,-0.264929162098029,+,Left Replicating,-32
LRD,-0.389026098566547,-,Left Replicating,-32
LRD,-0.00737339693754744,+,Left Replicating,-32
ERD,-0.357625840315603,-,Left Replicating,-33
ERD,-0.195071327420461,+,Left Replicating,-33
LRD,-0.483144369885532,-,Left Replicating,-33
LRD,-0.0559303171185933,+,Left Replicating,-33
ERD,-0.281689132002324,-,Left Replicating,-34
ERD,-0.151043717817176,+,Left Replicating,-34
LRD,-0.445846008351059,-,Left Replicating,-34
LRD,-0.118152015411014,+,Left Replicating,-34
ERD,-0.257635891786307,-,Left Replicating,-35
ERD,-0.195037525524436,+,Left Replicating,-35
LRD,-0.426496862080899,-,Left Replicating,-35
LRD,0.0421816632747211,+,Left Replicating,-35
ERD,-0.23892612885917,-,Left Replicating,-36
ERD,-0.262812234540506,+,Left Replicating,-36
LRD,-0.412464543708922,-,Left Replicating,-36
LRD,-0.0637060676713664,+,Left Replicating,-36
ERD,-0.202068305474744,-,Left Replicating,-37
ERD,-0.119485561342995,+,Left Replicating,-37
LRD,-0.399078530123803,-,Left Replicating,-37
LRD,0.0953134509079451,+,Left Replicating,-37
ERD,-0.069588670286501,-,Left Replicating,-38
ERD,-0.208874787411722,+,Left Replicating,-38
LRD,-0.434828586335265,-,Left Replicating,-38
LRD,0.0274334409326104,+,Left Replicating,-38
ERD,-0.239277182438452,-,Left Replicating,-39
ERD,-0.119212893164586,+,Left Replicating,-39
LRD,-0.513845016211208,-,Left Replicating,-39
LRD,0.0435765926865488,+,Left Replicating,-39
ERD,-0.145725616281575,-,Left Replicating,-4
ERD,-0.178295494137608,+,Left Replicating,-4
LRD,-0.221398208412466,-,Left Replicating,-4
LRD,-0.175094398625842,+,Left Replicating,-4
ERD,-0.253155273701549,-,Left Replicating,-40
ERD,-0.0704054131295942,+,Left Replicating,-40
LRD,-0.638325478244422,-,Left Replicating,-40
LRD,-0.11234057636386,+,Left Replicating,-40
ERD,-0.106842706817875,-,Left Replicating,-41
ERD,-0.189064682507312,+,Left Replicating,-41
LRD,-0.364761219741165,-,Left Replicating,-41
LRD,-0.137050374821335,+,Left Replicating,-41
ERD,-0.314624554765441,-,Left Replicating,-42
ERD,-0.170014402819917,+,Left Replicating,-42
LRD,-0.518021462377819,-,Left Replicating,-42
LRD,-0.118745943302955,+,Left Replicating,-42
ERD,-0.190647763312716,-,Left Replicating,-43
ERD,-0.165066457568364,+,Left Replicating,-43
LRD,-0.536909450912404,-,Left Replicating,-43
LRD,-0.100377455082824,+,Left Replicating,-43
ERD,-0.287906506459178,-,Left Replicating,-44
ERD,-0.16637821664155,+,Left Replicating,-44
LRD,-0.332843741545433,-,Left Replicating,-44
LRD,-0.117676537500377,+,Left Replicating,-44
ERD,-0.286597074815594,-,Left Replicating,-45
ERD,-0.160438614602197,+,Left Replicating,-45
LRD,-0.508323994318368,-,Left Replicating,-45
LRD,-0.00288054427970664,+,Left Replicating,-45
ERD,-0.265341754828423,-,Left Replicating,-46
ERD,-0.212973595279651,+,Left Replicating,-46
LRD,-0.531146939563667,-,Left Replicating,-46
LRD,-0.217343318509783,+,Left Replicating,-46
ERD,-0.289264269432244,-,Left Replicating,-47
ERD,-0.0889703493515185,+,Left Replicating,-47
LRD,-0.578801962722216,-,Left Replicating,-47
LRD,-0.0104477792868586,+,Left Replicating,-47
ERD,-0.340959394331853,-,Left Replicating,-48
ERD,-0.185571847532873,+,Left Replicating,-48
LRD,-0.551131466706169,-,Left Replicating,-48
LRD,-0.194727045222397,+,Left Replicating,-48
ERD,-0.225571152044728,-,Left Replicating,-49
ERD,-0.213207262346262,+,Left Replicating,-49
LRD,-0.350079129968028,-,Left Replicating,-49
LRD,-0.123823817762786,+,Left Replicating,-49
ERD,-0.168536499284749,-,Left Replicating,-5
ERD,-0.244998957089404,+,Left Replicating,-5
LRD,-0.192003143398493,-,Left Replicating,-5
