repdomains,log2val,norm,strands,direction,window_number
ERD,-7.21175217294722,0.00674599903375195,-,Left Replicating,-100
ERD,-7.02614404922503,0.00767219950123589,+,Left Replicating,-100
ERD,-7.02161761872817,0.00769630869449987,-,Left Replicating,-91
ERD,-7.26197557725869,0.00651519657180781,+,Left Replicating,-91
ERD,-6.67845653454577,0.00976302178446061,-,Left Replicating,-1
ERD,-6.72735269562145,0.00943767564110316,+,Left Replicating,-1
ERD,-6.79252005763678,0.00902085529944764,-,Right Replicating,1
ERD,-6.75099312675893,0.009284287240053,+,Right Replicating,1
ERD,-6.67322123447839,0.0097985145244617,-,Right Replicating,2
ERD,-6.89038315384321,0.00842923164814027,+,Right Replicating,2
ERD,-6.87414095577998,0.00852466611248432,-,Right Replicating,3
ERD,-6.68863634933351,0.00969437530298772,+,Right Replicating,3
ERD,-6.66474507300311,0.00985625247145531,-,Right Replicating,4
ERD,-6.97527477580642,0.0079475462601335,+,Right Replicating,4
ERD,-6.80071640856441,0.00896975062425599,-,Right Replicating,5
ERD,-6.92990742354143,0.00820143785289806,+,Right Replicating,5
ERD,-6.88189955698911,0.00847894476658788,-,Right Replicating,6
ERD,-6.83652836607117,0.00874983564900105,+,Right Replicating,6
ERD,-6.95810475138706,0.00804269791538274,-,Right Replicating,7
ERD,-7.02056066945542,0.00770194924095541,+,Right Replicating,7
ERD,-6.70916754972495,0.009557390293887,-,Right Replicating,8
ERD,-7.14528967879361,0.00706404535484448,+,Right Replicating,8
ERD,-7.08336305857233,0.00737386613537635,-,Left Replicating,-90
ERD,-7.02460484717423,0.00768038928952817,+,Left Replicating,-90
ERD,-6.92154468481389,0.00824911643302421,-,Right Replicating,9
ERD,-6.88047975466771,0.00848729327459869,+,Right Replicating,9
ERD,-6.8758422665047,0.0085146192506221,-,Right Replicating,10
ERD,-6.82514778662356,0.00881913095318341,+,Right Replicating,10
ERD,-6.88624291066801,0.00845345658299309,-,Right Replicating,11
ERD,-7.30528556299219,0.00632251573196025,+,Right Replicating,11
ERD,-7.0880893914025,0.00734974855014296,-,Right Replicating,12
ERD,-6.79120744264232,0.00902906652764666,+,Right Replicating,12
