dataset,chromosomes,start_position,end_position,score,dataset_strand,counts,sample_names,file_names,layout,cell_line,product,method,uv_exposure,treatment,phase,time_after_exposure,replicate,project,sample_source,sample_strand,mapped_reads,RPKM,windows,repdomains
iz,.,0,100,0,.,0.388732394366197,Hela_64_DS_NA_early_12_NA,HDE64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,early,12,_,repair_replication,Sancar,+,18727970,0.207567822014985,-100,ERD
iz,.,0,100,0,.,0.36056338028169,Hela_64_DS_NA_late_12_NA,HDL64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,16943821,0.212799332737102,-100,ERD
iz,.,0,100,0,.,0.353521126760563,Hela_64_DS_NA_late_12_NA,HDL64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,16943821,0.208643095769581,-100,ERD
iz,.,0,100,0,.,0.374647887323944,Hela_64_DS_NA_early_12_NA,HDE64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,early,12,_,repair_replication,Sancar,-,18727970,0.200047248753572,-100,ERD
iz,.,0,100,0,.,0.345070422535211,Hela_64_DS_NA_late_12_NA,HDL64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,16943821,0.203655611408555,-91,ERD
iz,.,0,100,0,.,0.375586854460094,Hela_64_DS_NA_early_12_NA,HDE64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,early,12,_,repair_replication,Sancar,-,18727970,0.200548620304333,-91,ERD
iz,.,0,100,0,.,0.334741784037559,Hela_64_DS_NA_late_12_NA,HDL64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,16943821,0.197559797189523,-91,ERD
iz,.,0,100,0,.,0.396713615023474,Hela_64_DS_NA_early_12_NA,HDE64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,early,12,_,repair_replication,Sancar,+,18727970,0.211829480196452,-91,ERD
iz,.,0,100,0,.,0.369953051643192,Hela_64_DS_NA_early_12_NA,HDE64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,early,12,_,repair_replication,Sancar,-,18727970,0.197540390999768,-1,ERD
iz,.,0,100,0,.,0.367605633802817,Hela_64_DS_NA_early_12_NA,HDE64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,early,12,_,repair_replication,Sancar,+,18727970,0.196286962122866,-1,ERD
iz,.,0,100,0,.,0.348356807511737,Hela_64_DS_NA_late_12_NA,HDL64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,16943821,0.205595188660065,-1,ERD
iz,.,0,100,0,.,0.340845070422535,Hela_64_DS_NA_late_12_NA,HDL64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,16943821,0.201161869228042,-1,ERD
iz,.,0,100,0,.,0.384976525821596,Hela_64_DS_NA_early_12_NA,HDE64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,early,12,_,repair_replication,Sancar,+,18727970,0.205562335811941,0,ERD
iz,.,0,100,0,.,0.384507042253521,Hela_64_DS_NA_early_12_NA,HDE64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,early,12,_,repair_replication,Sancar,-,18727970,0.205311650036561,0,ERD
iz,.,0,100,0,.,0.342253521126761,Hela_64_DS_NA_late_12_NA,HDL64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,16943821,0.201993116621546,0,ERD
iz,.,0,100,0,.,0.33943661971831,Hela_64_DS_NA_late_12_NA,HDL64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,16943821,0.200330621834538,0,ERD
iz,.,0,100,0,.,0.388732394366197,Hela_64_DS_NA_early_12_NA,HDE64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,early,12,_,repair_replication,Sancar,+,18727970,0.207567822014985,1,ERD
iz,.,0,100,0,.,0.340845070422535,Hela_64_DS_NA_late_12_NA,HDL64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,16943821,0.201161869228042,1,ERD
iz,.,0,100,0,.,0.337558685446009,Hela_64_DS_NA_late_12_NA,HDL64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,16943821,0.199222291976532,1,ERD
iz,.,0,100,0,.,0.371830985915493,Hela_64_DS_NA_early_12_NA,HDE64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,early,12,_,repair_replication,Sancar,-,18727970,0.19854313410129,1,ERD
iz,.,0,100,0,.,0.358215962441315,Hela_64_DS_NA_early_12_NA,HDE64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,early,12,_,repair_replication,Sancar,+,18727970,0.191273246615258,2,ERD
iz,.,0,100,0,.,0.375586854460094,Hela_64_DS_NA_early_12_NA,HDE64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,early,12,_,repair_replication,Sancar,-,18727970,0.200548620304333,2,ERD
iz,.,0,100,0,.,0.353521126760563,Hela_64_DS_NA_late_12_NA,HDL64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,16943821,0.208643095769581,2,ERD
iz,.,0,100,0,.,0.335211267605634,Hela_64_DS_NA_late_12_NA,HDL64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,-,16943821,0.197836879654025,2,ERD
iz,.,0,100,0,.,0.365727699530516,Hela_64_DS_NA_early_12_NA,HDE64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,early,12,_,repair_replication,Sancar,+,18727970,0.195284219021344,3,ERD
iz,.,0,100,0,.,0.355868544600939,Hela_64_DS_NA_early_12_NA,HDE64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,early,12,_,repair_replication,Sancar,-,18727970,0.190019817738355,3,ERD
iz,.,0,100,0,.,0.365258215962441,Hela_64_DS_NA_late_12_NA,HDL64_comb,single,HeLa_S3,64_PP,Damage_seq,20J,NA,late,12,_,repair_replication,Sancar,+,16943821,0.215570157382117,3,ERD
