chromosomes,start_position,end_position,dataset,score,dataset_strand,product,windows,phase,time_after_exposure,repdomains,sample_strand,replicate,real,sim,xr_ds
.,0,100,Initiation Zones,0,.,64_PP,-1,early,12,ERD,-,_,1.36504157155576,1.50704064391168,0.905776215837586
.,0,100,Initiation Zones,0,.,64_PP,-1,early,12,ERD,+,_,1.33494744295597,1.50153554885167,0.889054837214407
.,0,100,Initiation Zones,0,.,64_PP,-1,early,12,LRD,-,_,0.789037240647401,0.768819813872323,1.02629670361024
.,0,100,Initiation Zones,0,.,64_PP,-1,early,12,LRD,+,_,0.794286643506725,0.710763928301686,1.11751119025498
.,0,100,Initiation Zones,0,.,64_PP,-10,early,12,ERD,-,_,1.28666942977868,1.57935648847812,0.814679547755885
.,0,100,Initiation Zones,0,.,64_PP,-10,early,12,ERD,+,_,1.3623920047957,1.53341564246174,0.888468831978603
.,0,100,Initiation Zones,0,.,64_PP,-10,early,12,LRD,-,_,0.654470636170821,0.704654045079273,0.928782912325712
.,0,100,Initiation Zones,0,.,64_PP,-10,early,12,LRD,+,_,0.766803607912498,0.751225778190158,1.02073654841807
.,0,100,Initiation Zones,0,.,64_PP,-100,early,12,ERD,-,_,1.41403924824289,1.41757937954397,0.997502692722421
.,0,100,Initiation Zones,0,.,64_PP,-100,early,12,ERD,+,_,1.31363967086032,1.57635581201309,0.833339567659373
.,0,100,Initiation Zones,0,.,64_PP,-100,early,12,LRD,-,_,0.632769166559572,0.757086330701282,0.835795259932172
.,0,100,Initiation Zones,0,.,64_PP,-100,early,12,LRD,+,_,0.695274435435734,0.760861992343734,0.913798352962847
.,0,100,Initiation Zones,0,.,64_PP,-11,early,12,ERD,-,_,1.34159495472072,1.51873025450241,0.883366187473678
.,0,100,Initiation Zones,0,.,64_PP,-11,early,12,ERD,+,_,1.30212652333334,1.44766529077379,0.899466562907879
.,0,100,Initiation Zones,0,.,64_PP,-11,early,12,LRD,-,_,0.708571618418299,0.72720061304648,0.974382592239385
.,0,100,Initiation Zones,0,.,64_PP,-11,early,12,LRD,+,_,0.737943630960138,0.807779290094032,0.913546113412038
.,0,100,Initiation Zones,0,.,64_PP,-12,early,12,ERD,-,_,1.34276402040332,1.52205299073056,0.882205828956597
.,0,100,Initiation Zones,0,.,64_PP,-12,early,12,ERD,+,_,1.37298119806163,1.57145462272951,0.873700823557255
.,0,100,Initiation Zones,0,.,64_PP,-12,early,12,LRD,-,_,0.719347073729843,0.736161200681899,0.977159721353855
.,0,100,Initiation Zones,0,.,64_PP,-12,early,12,LRD,+,_,0.726833879506371,0.823314863792931,0.882813989483827
.,0,100,Initiation Zones,0,.,64_PP,-13,early,12,ERD,-,_,1.26635117473196,1.53477216598583,0.825106946032313
.,0,100,Initiation Zones,0,.,64_PP,-13,early,12,ERD,+,_,1.32184979421698,1.46871290414363,0.900005569834444
.,0,100,Initiation Zones,0,.,64_PP,-13,early,12,LRD,-,_,0.669684865482984,0.711670514944928,0.941004090263325
.,0,100,Initiation Zones,0,.,64_PP,-13,early,12,LRD,+,_,0.694566437560217,0.758407086075639,0.915822716206722
.,0,100,Initiation Zones,0,.,64_PP,-14,early,12,ERD,-,_,1.32356006900729,1.56676814220213,0.844770858786414
.,0,100,Initiation Zones,0,.,64_PP,-14,early,12,ERD,+,_,1.22195946203838,1.65850719827962,0.736782730461418
.,0,100,Initiation Zones,0,.,64_PP,-14,early,12,LRD,-,_,0.705227881994865,0.875671031388903,0.805357099544908
.,0,100,Initiation Zones,0,.,64_PP,-14,early,12,LRD,+,_,0.710458589772837,0.825503664457701,0.860636506367974
.,0,100,Initiation Zones,0,.,64_PP,-15,early,12,ERD,-,_,1.25681567265966,1.42922535708051,0.879368439996731
.,0,100,Initiation Zones,0,.,64_PP,-15,early,12,ERD,+,_,1.43879068321417,1.455117945906,0.988779423181628
.,0,100,Initiation Zones,0,.,64_PP,-15,early,12,LRD,-,_,0.706067704996225,0.773795850880694,0.912472849515303
.,0,100,Initiation Zones,0,.,64_PP,-15,early,12,LRD,+,_,0.694766015496402,0.833004504378161,0.834048329684658
.,0,100,Initiation Zones,0,.,64_PP,-16,early,12,ERD,-,_,1.22293412299533,1.52183712153505,0.803590677142752
.,0,100,Initiation Zones,0,.,64_PP,-16,early,12,ERD,+,_,1.31552130121443,1.51849697514654,0.866331196403921
.,0,100,Initiation Zones,0,.,64_PP,-16,early,12,LRD,-,_,0.679775279792402,0.749967381435428,0.906406460626755
.,0,100,Initiation Zones,0,.,64_PP,-16,early,12,LRD,+,_,0.746517558238388,0.681538082503642,1.09534239891048
.,0,100,Initiation Zones,0,.,64_PP,-17,early,12,ERD,-,_,1.26183749770534,1.38867544031515,0.908662644324565
.,0,100,Initiation Zones,0,.,64_PP,-17,early,12,ERD,+,_,1.34331609286565,1.50899442789211,0.890206132001497
.,0,100,Initiation Zones,0,.,64_PP,-17,early,12,LRD,-,_,0.770829544163097,0.799363806430819,0.964303785037344
.,0,100,Initiation Zones,0,.,64_PP,-17,early,12,LRD,+,_,0.774247856997524,0.780647811008821,0.991801739630799
.,0,100,Initiation Zones,0,.,64_PP,-18,early,12,ERD,-,_,1.22593179133741,1.50543969744463,0.814334704617088
.,0,100,Initiation Zones,0,.,64_PP,-18,early,12,ERD,+,_,1.37255952078949,1.53067879402511,0.896699899513323
.,0,100,Initiation Zones,0,.,64_PP,-18,early,12,LRD,-,_,0.631723097162305,0.71779241184768,0.880091634761334
.,0,100,Initiation Zones,0,.,64_PP,-18,early,12,LRD,+,_,0.730696433059312,0.762821833206594,0.957886102955076
.,0,100,Initiation Zones,0,.,64_PP,-19,early,12,ERD,-,_,1.40058952914836,1.53621528365554,0.911714356737521
.,0,100,Initiation Zones,0,.,64_PP,-19,early,12,ERD,+,_,1.44745166032138,1.60114237259423,0.904011838732472
.,0,100,Initiation Zones,0,.,64_PP,-19,early,12,LRD,-,_,0.742082627591854,0.733500898838944,1.01169968403106
.,0,100,Initiation Zones,0,.,64_PP,-19,early,12,LRD,+,_,0.715392329979592,0.772523501005436,0.926046041380634
.,0,100,Initiation Zones,0,.,64_PP,-2,early,12,ERD,-,_,1.26086296154636,1.43694184417547,0.877462763477289
.,0,100,Initiation Zones,0,.,64_PP,-2,early,12,ERD,+,_,1.22225174044834,1.4286536558179,0.85552697497463
.,0,100,Initiation Zones,0,.,64_PP,-2,early,12,LRD,-,_,0.733874337247615,0.778519900135361,0.942653279794154
.,0,100,Initiation Zones,0,.,64_PP,-2,early,12,LRD,+,_,0.777158193950972,0.821337774624966,0.946210216991217
