chromosomes,start_position,end_position,dataset,score,dataset_strand,product,windows,phase,time_after_exposure,repdomains,sample_strand,replicate,real,sim,xr_ds
.,0,100,Initiation Zones,0,.,64_PP,-1,late,12,ERD,-,_,1.28217945275109,1.44048603778007,0.890101964977777
.,0,100,Initiation Zones,0,.,64_PP,-1,late,12,ERD,+,_,1.17544868034316,1.3923831646773,0.844199147305532
.,0,100,Initiation Zones,0,.,64_PP,-1,late,12,LRD,-,_,0.8262183825647,0.736154838841184,1.12234320685209
.,0,100,Initiation Zones,0,.,64_PP,-1,late,12,LRD,+,_,0.702398188992334,0.717731330409617,0.978636655852083
.,0,100,Initiation Zones,0,.,64_PP,-10,late,12,ERD,-,_,1.29311506593489,1.4300434785799,0.90424877656098
.,0,100,Initiation Zones,0,.,64_PP,-10,late,12,ERD,+,_,1.2055584301455,1.48606904541118,0.811239850441758
.,0,100,Initiation Zones,0,.,64_PP,-10,late,12,LRD,-,_,0.834789186228586,0.777871769599235,1.07317069323479
.,0,100,Initiation Zones,0,.,64_PP,-10,late,12,LRD,+,_,0.736215062932336,0.854758006883776,0.861314029237799
.,0,100,Initiation Zones,0,.,64_PP,-100,late,12,ERD,-,_,1.23232455804126,1.37080426844459,0.89897922439324
.,0,100,Initiation Zones,0,.,64_PP,-100,late,12,ERD,+,_,1.19109504218275,1.4451966524704,0.824175063059211
.,0,100,Initiation Zones,0,.,64_PP,-100,late,12,LRD,-,_,0.843770705844604,0.843871146021772,0.999880976879419
.,0,100,Initiation Zones,0,.,64_PP,-100,late,12,LRD,+,_,0.622003215553452,0.828677031701005,0.750597870773227
.,0,100,Initiation Zones,0,.,64_PP,-11,late,12,ERD,-,_,1.30930985375152,1.30915755883284,1.00011633047348
.,0,100,Initiation Zones,0,.,64_PP,-11,late,12,ERD,+,_,1.26597781698449,1.57123764481944,0.805720141162971
.,0,100,Initiation Zones,0,.,64_PP,-11,late,12,LRD,-,_,0.801254230406069,0.790851236198715,1.01315417328973
.,0,100,Initiation Zones,0,.,64_PP,-11,late,12,LRD,+,_,0.828065803912241,0.706993291336139,1.17124987472977
.,0,100,Initiation Zones,0,.,64_PP,-12,late,12,ERD,-,_,1.19889118895314,1.40784971346795,0.851576114612344
.,0,100,Initiation Zones,0,.,64_PP,-12,late,12,ERD,+,_,1.27541663026631,1.47805924970602,0.862899528905885
.,0,100,Initiation Zones,0,.,64_PP,-12,late,12,LRD,-,_,0.750433572388096,0.811768485550429,0.924442850080902
.,0,100,Initiation Zones,0,.,64_PP,-12,late,12,LRD,+,_,0.756223267605333,0.77070032815191,0.981215707301836
.,0,100,Initiation Zones,0,.,64_PP,-13,late,12,ERD,-,_,1.28419980176176,1.52594573151415,0.841576325579738
.,0,100,Initiation Zones,0,.,64_PP,-13,late,12,ERD,+,_,1.30633266424435,1.52905097673599,0.854342127319345
.,0,100,Initiation Zones,0,.,64_PP,-13,late,12,LRD,-,_,0.693901436706136,0.669659195312056,1.03620086390777
.,0,100,Initiation Zones,0,.,64_PP,-13,late,12,LRD,+,_,0.726118289124635,0.811198099369557,0.895118331377942
.,0,100,Initiation Zones,0,.,64_PP,-14,late,12,ERD,-,_,1.1932422616474,1.31293397486793,0.908836456736084
.,0,100,Initiation Zones,0,.,64_PP,-14,late,12,ERD,+,_,1.20180194012908,1.50128555612131,0.800515221923558
.,0,100,Initiation Zones,0,.,64_PP,-14,late,12,LRD,-,_,0.66889156160224,0.76392950880676,0.875593302642587
.,0,100,Initiation Zones,0,.,64_PP,-14,late,12,LRD,+,_,0.728671606099528,0.829071414449768,0.878900892492027
.,0,100,Initiation Zones,0,.,64_PP,-15,late,12,ERD,-,_,1.22801263340447,1.48266237236212,0.828248329690898
.,0,100,Initiation Zones,0,.,64_PP,-15,late,12,ERD,+,_,1.42475087199013,1.5276920216389,0.932616556092021
.,0,100,Initiation Zones,0,.,64_PP,-15,late,12,LRD,-,_,0.780955881182266,0.794294297192802,0.983207211662381
.,0,100,Initiation Zones,0,.,64_PP,-15,late,12,LRD,+,_,0.708350716017693,0.892402735659254,0.79375677338596
.,0,100,Initiation Zones,0,.,64_PP,-16,late,12,ERD,-,_,1.32992976603554,1.46277586911377,0.909182188547643
.,0,100,Initiation Zones,0,.,64_PP,-16,late,12,ERD,+,_,1.12559974935822,1.63131234779158,0.689996462591618
.,0,100,Initiation Zones,0,.,64_PP,-16,late,12,LRD,-,_,0.756072012868163,0.790802893688658,0.956081495025271
.,0,100,Initiation Zones,0,.,64_PP,-16,late,12,LRD,+,_,0.737983703302078,0.83364063939459,0.885253991261774
.,0,100,Initiation Zones,0,.,64_PP,-17,late,12,ERD,-,_,1.21030320856432,1.73440773686946,0.6978193090564
.,0,100,Initiation Zones,0,.,64_PP,-17,late,12,ERD,+,_,1.21567566559848,1.4102991172732,0.861998458843952
.,0,100,Initiation Zones,0,.,64_PP,-17,late,12,LRD,-,_,0.750927518413622,0.760291063065485,0.987684263163493
.,0,100,Initiation Zones,0,.,64_PP,-17,late,12,LRD,+,_,0.805589157992701,0.790480871035363,1.01911277996841
.,0,100,Initiation Zones,0,.,64_PP,-18,late,12,ERD,-,_,1.13369250659343,1.53986684799863,0.736227621282254
.,0,100,Initiation Zones,0,.,64_PP,-18,late,12,ERD,+,_,1.21271334833207,1.41853150066647,0.854907591239461
