repdomains,log2val,sample_strand,direction,windows
ERD,-0.248422584130325,-,Left Replicating,-1
ERD,-0.119164471086757,+,Left Replicating,-1
LRD,-0.458766853850572,-,Left Replicating,-1
LRD,-0.261236470112454,+,Left Replicating,-1
ERD,-0.15237382555685,-,Left Replicating,-10
ERD,-0.219859270655339,+,Left Replicating,-10
LRD,-0.511078555938568,-,Left Replicating,-10
LRD,-0.404919431461512,+,Left Replicating,-10
ERD,-0.183816425956181,-,Left Replicating,-100
ERD,-0.0751106857360171,+,Left Replicating,-100
LRD,-0.599600600715467,-,Left Replicating,-100
LRD,-0.347550432320529,+,Left Replicating,-100
ERD,-0.101094148083442,-,Left Replicating,-11
ERD,-0.0870462998747722,+,Left Replicating,-11
LRD,-0.330592638965063,-,Left Replicating,-11
LRD,-0.285286530350856,+,Left Replicating,-11
ERD,-0.15486700384739,-,Left Replicating,-12
ERD,-0.167822058555728,+,Left Replicating,-12
LRD,-0.373807315061967,-,Left Replicating,-12
LRD,-0.423582045608439,+,Left Replicating,-12
ERD,-0.193552578228644,-,Left Replicating,-13
ERD,-0.213023856138943,+,Left Replicating,-13
LRD,-0.496847425883647,-,Left Replicating,-13
LRD,-0.279277688694969,+,Left Replicating,-13
ERD,-0.130275204896558,-,Left Replicating,-14
ERD,-0.123754087134195,+,Left Replicating,-14
LRD,-0.610509813274534,-,Left Replicating,-14
LRD,-0.335240610142207,+,Left Replicating,-14
ERD,-0.200552814316668,-,Left Replicating,-15
ERD,-0.128539866844119,+,Left Replicating,-15
LRD,-0.57447877772598,-,Left Replicating,-15
LRD,-0.294530777747379,+,Left Replicating,-15
ERD,-0.237113751800762,-,Left Replicating,-16
ERD,-0.185428765646596,+,Left Replicating,-16
LRD,-0.520777020695355,-,Left Replicating,-16
LRD,-0.317020258911513,+,Left Replicating,-16
ERD,-0.198956203697293,-,Left Replicating,-17
ERD,-0.185688263059145,+,Left Replicating,-17
LRD,-0.615317945439651,-,Left Replicating,-17
LRD,-0.316896423219254,+,Left Replicating,-17
ERD,-0.300686795875435,-,Left Replicating,-18
ERD,-0.247172785770783,+,Left Replicating,-18
LRD,-0.586869552733875,-,Left Replicating,-18
LRD,-0.380943021106863,+,Left Replicating,-18
ERD,-0.421325018127545,-,Left Replicating,-19
ERD,-0.238208815974186,+,Left Replicating,-19
LRD,-0.541641034721992,-,Left Replicating,-19
LRD,-0.187591163342317,+,Left Replicating,-19
ERD,-0.041623003719164,-,Left Replicating,-2
ERD,-0.20294591688004,+,Left Replicating,-2
LRD,-0.469994117773919,-,Left Replicating,-2
LRD,-0.226610745649085,+,Left Replicating,-2
ERD,-0.164962842617024,-,Left Replicating,-20
ERD,-0.268305883768918,+,Left Replicating,-20
LRD,-0.524540004793796,-,Left Replicating,-20
LRD,-0.19645061471208,+,Left Replicating,-20
ERD,-0.331238621521073,-,Left Replicating,-21
ERD,-0.151506806619144,+,Left Replicating,-21
LRD,-0.500657351089067,-,Left Replicating,-21
LRD,-0.343986516933662,+,Left Replicating,-21
ERD,-0.192765534675114,-,Left Replicating,-22
ERD,-0.182053529744193,+,Left Replicating,-22
LRD,-0.439777675408413,-,Left Replicating,-22
LRD,-0.249286290336316,+,Left Replicating,-22
ERD,-0.117997581655178,-,Left Replicating,-23
ERD,-0.0883044017882116,+,Left Replicating,-23
LRD,-0.568368699319678,-,Left Replicating,-23
LRD,-0.339834147854332,+,Left Replicating,-23
ERD,-0.0492856296992635,-,Left Replicating,-24
ERD,-0.177693718264992,+,Left Replicating,-24
LRD,-0.408218242862119,-,Left Replicating,-24
LRD,-0.352912277620416,+,Left Replicating,-24
ERD,-0.0877641744776759,-,Left Replicating,-25
ERD,-0.338907055534396,+,Left Replicating,-25
LRD,-0.667335643356434,-,Left Replicating,-25
LRD,-0.22323027762169,+,Left Replicating,-25
ERD,-0.0450725635804273,-,Left Replicating,-26
ERD,-0.184127018482049,+,Left Replicating,-26
LRD,-0.592911050639573,-,Left Replicating,-26
LRD,-0.513414642502719,+,Left Replicating,-26
ERD,-0.191356322259454,-,Left Replicating,-27
ERD,-0.125664055410205,+,Left Replicating,-27
LRD,-0.653707266392113,-,Left Replicating,-27
LRD,-0.231306148314784,+,Left Replicating,-27
ERD,-0.219841771236662,-,Left Replicating,-28
ERD,-0.162084389171628,+,Left Replicating,-28
LRD,-0.575079833873431,-,Left Replicating,-28
LRD,-0.218436707941243,+,Left Replicating,-28
ERD,-0.0610858919804181,-,Left Replicating,-29
ERD,-0.0745116219480679,+,Left Replicating,-29
LRD,-0.60565177611706,-,Left Replicating,-29
LRD,-0.272233296049951,+,Left Replicating,-29
ERD,-0.161730277195249,-,Left Replicating,-3
ERD,0.0846882042566938,+,Left Replicating,-3
LRD,-0.391599799778986,-,Left Replicating,-3
LRD,-0.28878681777501,+,Left Replicating,-3
ERD,-0.183393680062885,-,Left Replicating,-30
ERD,-0.22927397881016,+,Left Replicating,-30
LRD,-0.706651588689435,-,Left Replicating,-30
LRD,-0.413333765176164,+,Left Replicating,-30
ERD,-0.275546829558637,-,Left Replicating,-31
ERD,-0.233082187607176,+,Left Replicating,-31
LRD,-0.618583045286586,-,Left Replicating,-31
LRD,-0.243112318430325,+,Left Replicating,-31
ERD,-0.24757039111271,-,Left Replicating,-32
ERD,-0.267345956388436,+,Left Replicating,-32
LRD,-0.607379437939292,-,Left Replicating,-32
LRD,-0.315573052873609,+,Left Replicating,-32
ERD,-0.301087190697168,-,Left Replicating,-33
ERD,-0.158320857271328,+,Left Replicating,-33
LRD,-0.537949773683453,-,Left Replicating,-33
LRD,-0.271460237162688,+,Left Replicating,-33
ERD,-0.268229682757876,-,Left Replicating,-34
ERD,-0.157367969812201,+,Left Replicating,-34
LRD,-0.70448251873315,-,Left Replicating,-34
LRD,-0.299776515307799,+,Left Replicating,-34
ERD,-0.185369196723986,-,Left Replicating,-35
ERD,-0.175078603847559,+,Left Replicating,-35
LRD,-0.60627885905136,-,Left Replicating,-35
LRD,-0.381497415989456,+,Left Replicating,-35
ERD,-0.263389891872826,-,Left Replicating,-36
ERD,-0.182229104470797,+,Left Replicating,-36
LRD,-0.529420796254657,-,Left Replicating,-36
LRD,-0.348434433476217,+,Left Replicating,-36
ERD,-0.273509191806108,-,Left Replicating,-37
ERD,-0.0958188207735156,+,Left Replicating,-37
LRD,-0.557489311776284,-,Left Replicating,-37
LRD,-0.0627465667471158,+,Left Replicating,-37
ERD,-0.134542198681202,-,Left Replicating,-38
ERD,-0.182056470344205,+,Left Replicating,-38
LRD,-0.486791792885008,-,Left Replicating,-38
LRD,-0.340317178616678,+,Left Replicating,-38
ERD,-0.265495014399794,-,Left Replicating,-39
ERD,-0.114416686640505,+,Left Replicating,-39
LRD,-0.707176746760715,-,Left Replicating,-39
LRD,-0.332864676834906,+,Left Replicating,-39
ERD,-0.187228139049016,-,Left Replicating,-4
ERD,-0.0844470094044817,+,Left Replicating,-4
LRD,-0.386569309089254,-,Left Replicating,-4
LRD,-0.132414785345433,+,Left Replicating,-4
ERD,-0.167620205670734,-,Left Replicating,-40
ERD,-0.130484254320179,+,Left Replicating,-40
LRD,-0.741441353494466,-,Left Replicating,-40
LRD,-0.376910047370591,+,Left Replicating,-40
ERD,-0.0957142616167185,-,Left Replicating,-41
ERD,-0.339903837078605,+,Left Replicating,-41
LRD,-0.634969802583345,-,Left Replicating,-41
LRD,-0.421805720762431,+,Left Replicating,-41
ERD,-0.105841459529396,-,Left Replicating,-42
ERD,-0.212589407715903,+,Left Replicating,-42
LRD,-0.605396250772709,-,Left Replicating,-42
LRD,-0.308314235864488,+,Left Replicating,-42
ERD,-0.169858462601582,-,Left Replicating,-43
ERD,-0.160629768703431,+,Left Replicating,-43
LRD,-0.692530956089543,-,Left Replicating,-43
LRD,-0.150377412707553,+,Left Replicating,-43
ERD,-0.167893894285062,-,Left Replicating,-44
ERD,-0.130126498829158,+,Left Replicating,-44
LRD,-0.643646365006983,-,Left Replicating,-44
LRD,-0.371640950175259,+,Left Replicating,-44
ERD,-0.170919038160756,-,Left Replicating,-45
ERD,-0.00882546119741922,+,Left Replicating,-45
LRD,-0.631577701207588,-,Left Replicating,-45
LRD,-0.293962866074769,+,Left Replicating,-45
ERD,-0.228646476349919,-,Left Replicating,-46
ERD,-0.168594089649123,+,Left Replicating,-46
LRD,-0.677841877806432,-,Left Replicating,-46
LRD,-0.240294062061397,+,Left Replicating,-46
ERD,-0.166325893426673,-,Left Replicating,-47
ERD,-0.150456099221075,+,Left Replicating,-47
LRD,-0.726531187340487,-,Left Replicating,-47
LRD,-0.545333888196471,+,Left Replicating,-47
ERD,-0.334508809102883,-,Left Replicating,-48
ERD,-0.155385433052309,+,Left Replicating,-48
LRD,-0.732040955822856,-,Left Replicating,-48
LRD,-0.498719687884567,+,Left Replicating,-48
ERD,-0.239500446739363,-,Left Replicating,-49
ERD,-0.286985847999666,+,Left Replicating,-49
LRD,-0.680928315683746,-,Left Replicating,-49
LRD,-0.438194547738886,+,Left Replicating,-49
ERD,-0.14503383072447,-,Left Replicating,-5
ERD,-0.134361563088308,+,Left Replicating,-5
LRD,-0.300996293696751,-,Left Replicating,-5
LRD,-0.157326811331229,+,Left Replicating,-5
ERD,-0.215494542378849,-,Left Replicating,-50
ERD,-0.181689551376433,+,Left Replicating,-50
LRD,-0.676362692432053,-,Left Replicating,-50
LRD,-0.276587289273068,+,Left Replicating,-50
ERD,0.0372265953156944,-,Left Replicating,-51
ERD,-0.173912323230211,+,Left Replicating,-51
LRD,-0.628437113512149,-,Left Replicating,-51
LRD,-0.453256591568069,+,Left Replicating,-51
ERD,-0.0240071353613216,-,Left Replicating,-52
ERD,-0.137576626540344,+,Left Replicating,-52
LRD,-0.361676269512205,-,Left Replicating,-52
LRD,-0.128791335576174,+,Left Replicating,-52
ERD,-0.163027838097474,-,Left Replicating,-53
ERD,-0.157200054338684,+,Left Replicating,-53
LRD,-0.770004233068391,-,Left Replicating,-53
LRD,-0.364398276890642,+,Left Replicating,-53
ERD,-0.138286441997732,-,Left Replicating,-54
ERD,-0.0653202204145387,+,Left Replicating,-54
LRD,-0.740987424965502,-,Left Replicating,-54
LRD,-0.321143410595249,+,Left Replicating,-54
ERD,-0.0922052955820927,-,Left Replicating,-55
ERD,-0.191051374620042,+,Left Replicating,-55
LRD,-0.608000738118472,-,Left Replicating,-55
LRD,-0.342051812401206,+,Left Replicating,-55
ERD,-0.133214536128404,-,Left Replicating,-56
ERD,-0.173063014197054,+,Left Replicating,-56
LRD,-0.673296447750357,-,Left Replicating,-56
LRD,-0.292935807842037,+,Left Replicating,-56
ERD,-0.132774905668449,-,Left Replicating,-57
ERD,-0.213003793339608,+,Left Replicating,-57
LRD,-0.725922892873257,-,Left Replicating,-57
LRD,-0.294090493848204,+,Left Replicating,-57
ERD,-0.238601599196856,-,Left Replicating,-58
ERD,-0.108170420614986,+,Left Replicating,-58
LRD,-0.728685461355077,-,Left Replicating,-58
LRD,-0.205191312666369,+,Left Replicating,-58
ERD,-0.107158840213432,-,Left Replicating,-59
ERD,-0.0260589742749582,+,Left Replicating,-59
LRD,-0.738001166106376,-,Left Replicating,-59
LRD,-0.444003189176623,+,Left Replicating,-59
ERD,0.0159208042480226,-,Left Replicating,-6
ERD,-0.195580485813157,+,Left Replicating,-6
LRD,-0.22062537909057,-,Left Replicating,-6
LRD,-0.03365630403114,+,Left Replicating,-6
ERD,-0.218147542565758,-,Left Replicating,-60
ERD,-0.162246052869274,+,Left Replicating,-60
LRD,-0.711159560847407,-,Left Replicating,-60
LRD,-0.337882654686256,+,Left Replicating,-60
ERD,-0.240102439425888,-,Left Replicating,-61
ERD,-0.2606094015268,+,Left Replicating,-61
LRD,-0.592649610020117,-,Left Replicating,-61
LRD,-0.264741106896657,+,Left Replicating,-61
ERD,-0.067530238576407,-,Left Replicating,-62
ERD,-0.030824463437727,+,Left Replicating,-62
LRD,-0.716508951608783,-,Left Replicating,-62
LRD,-0.301021150588073,+,Left Replicating,-62
ERD,-0.303309216953713,-,Left Replicating,-63
ERD,-0.13884256106955,+,Left Replicating,-63
LRD,-0.692896728563717,-,Left Replicating,-63
LRD,-0.484919105271795,+,Left Replicating,-63
ERD,-0.164277939854321,-,Left Replicating,-64
ERD,-0.0832998715920201,+,Left Replicating,-64
LRD,-0.511676675943736,-,Left Replicating,-64
LRD,-0.489654061680858,+,Left Replicating,-64
ERD,-0.200658819747771,-,Left Replicating,-65
ERD,-0.0789102786339425,+,Left Replicating,-65
LRD,-0.865792412480615,-,Left Replicating,-65
LRD,-0.160481434581477,+,Left Replicating,-65
ERD,-0.307399121021984,-,Left Replicating,-66
ERD,-0.122869089065809,+,Left Replicating,-66
LRD,-0.706890371294759,-,Left Replicating,-66
LRD,-0.310521344282089,+,Left Replicating,-66
ERD,-0.140650969694503,-,Left Replicating,-67
ERD,-0.0430006187807371,+,Left Replicating,-67
LRD,-0.520708919235394,-,Left Replicating,-67
LRD,-0.41020921715888,+,Left Replicating,-67
ERD,-0.177294181718129,-,Left Replicating,-68
ERD,-0.0756842972952613,+,Left Replicating,-68
LRD,-0.673156780319654,-,Left Replicating,-68
LRD,-0.289505447956335,+,Left Replicating,-68
ERD,-0.213438241699976,-,Left Replicating,-69
ERD,-0.0511658966730033,+,Left Replicating,-69
LRD,-0.671226766916382,-,Left Replicating,-69
LRD,-0.425900159732621,+,Left Replicating,-69
ERD,-0.278059984369318,-,Left Replicating,-7
ERD,-0.223911631088832,+,Left Replicating,-7
LRD,-0.445569031761117,-,Left Replicating,-7
LRD,-0.233174119975089,+,Left Replicating,-7
ERD,-0.146117163489078,-,Left Replicating,-70
ERD,-0.112074912259759,+,Left Replicating,-70
LRD,-0.579683359711631,-,Left Replicating,-70
LRD,-0.274309044933784,+,Left Replicating,-70
ERD,-0.112551197478951,-,Left Replicating,-71
ERD,-0.143221663114769,+,Left Replicating,-71
LRD,-0.71554752910539,-,Left Replicating,-71
LRD,-0.388595628109879,+,Left Replicating,-71
ERD,-0.238397672916282,-,Left Replicating,-72
ERD,-0.0885086659408724,+,Left Replicating,-72
LRD,-0.661954827064061,-,Left Replicating,-72
LRD,-0.264912675211118,+,Left Replicating,-72
ERD,-0.152888946969619,-,Left Replicating,-73
ERD,-0.103171436838446,+,Left Replicating,-73
LRD,-0.697089926901861,-,Left Replicating,-73
LRD,-0.26572222920318,+,Left Replicating,-73
ERD,-0.248108025915093,-,Left Replicating,-74
ERD,-0.160964922637207,+,Left Replicating,-74
LRD,-0.784869930844307,-,Left Replicating,-74
LRD,-0.156798161521156,+,Left Replicating,-74
ERD,-0.210304498729032,-,Left Replicating,-75
ERD,-0.112087461111566,+,Left Replicating,-75
LRD,-0.802674341349,-,Left Replicating,-75
LRD,-0.423801714111314,+,Left Replicating,-75
ERD,-0.255728374998149,-,Left Replicating,-76
ERD,-0.183264741484415,+,Left Replicating,-76
LRD,-0.740956358082535,-,Left Replicating,-76
LRD,-0.274424713811485,+,Left Replicating,-76
