dataset,chromosomes,start_position,end_position,score,dataset_strand,product,phase,method,sample_strand,windows,repdomains,12,120,diff
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-100,ERD,0.188593444744916,0.154712227908747,0.179652144760364
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-100,LRD,0.154414214453667,0.147504977238594,0.0447448263718329
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-99,ERD,0.185244107611468,0.154860989666351,0.16401664990523
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-99,LRD,0.16009120763211,0.143790037071104,0.101824271314553
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-98,ERD,0.168497421944228,0.157241177788024,0.0668036580401204
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-98,LRD,0.156306545513148,0.162583263800762,-0.0401564647661283
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-97,ERD,0.178287792026615,0.162745362819393,0.0871760709499471
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-97,LRD,0.145331025368157,0.151656969190496,-0.0435278276356589
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-96,ERD,0.173134965667464,0.15515851318156,0.103829127851797
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-96,LRD,0.144574092944364,0.157338642387834,-0.0882907108978491
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-95,ERD,0.187305238155128,0.159323842394488,0.149389285832283
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-95,LRD,0.165389734598658,0.154934857573575,0.0632135788261135
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-94,ERD,0.172362041713591,0.154414704393537,0.104125810657757
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-94,LRD,0.162362004903488,0.139638045119203,0.13995860544955
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-93,ERD,0.182410053113935,0.157241177788024,0.137979650223501
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-93,LRD,0.152521883394185,0.137015734412739,0.101665076750801
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-92,ERD,0.162571671631205,0.160960221728138,0.00991224293198032
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-92,LRD,0.161983538691591,0.141604778149051,0.12580760185355
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-91,ERD,0.169012704580143,0.165869359729089,0.0185982755489481
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-91,LRD,0.153278815817978,0.147504977238594,0.0376688621227353
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-90,ERD,0.177514868072742,0.164084218637834,0.0756592931100525
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-90,LRD,0.167282065658139,0.142478881717872,0.148271626385552
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-89,ERD,0.181121846524147,0.157687463060838,0.129384632019999
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-89,LRD,0.158955808996422,0.157120116495629,0.0115484455232097
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-88,ERD,0.17880307466253,0.165869359729089,0.0723349693949709
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-88,LRD,0.161983538691591,0.154497805789165,0.0462129236272529
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-87,ERD,0.181121846524147,0.156051083727188,0.138419319800924
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-87,LRD,0.151764950970393,0.156246012926807,-0.0295263295494924
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-86,ERD,0.186789955519213,0.161257745243347,0.136689417827072
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-86,LRD,0.151764950970393,0.154060754004754,-0.0151273599054438
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-85,ERD,0.172877324349506,0.155009751423956,0.10335405752479
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-85,LRD,0.144195626732468,0.142915933502283,0.00887470209176197
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-84,ERD,0.177514868072742,0.147422901786123,0.169518004961072
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-84,LRD,0.156306545513148,0.145101192424336,0.07168831639152
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-83,ERD,0.167724497990356,0.16884459488118,-0.00667819492230002
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-83,LRD,0.156306545513148,0.154279279896959,0.0129698062837546
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-82,ERD,0.181121846524147,0.158580033606465,0.124456620503132
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-82,LRD,0.148737221275223,0.148597606699621,0.000938666020549798
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-81,ERD,0.176484302800912,0.16720821554753,0.0525604096577702
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-81,LRD,0.156306545513148,0.154497805789165,0.011571746519284
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-80,ERD,0.179060715980487,0.163191648092207,0.0886239497110567
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-80,LRD,0.156685011725044,0.146630873669773,0.0641678354845729
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-79,ERD,0.174938454893167,0.169439641911598,0.0314328429671241
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-79,LRD,0.144952559156261,0.154279279896959,-0.0643432637201288
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-78,ERD,0.180606563888232,0.16363793336502,0.0939535649087096
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-78,LRD,0.146087957791949,0.14116772636464,0.0336799247636584
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-77,ERD,0.179318357298445,0.159918889424906,0.1081845058465
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-77,LRD,0.146466424003846,0.156901590603423,-0.0712461348773272
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-76,ERD,0.177257226754784,0.169885927184412,0.0415853260559564
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-76,LRD,0.158198876572629,0.148816132591826,0.0593098015869607
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-75,ERD,0.166693932718525,0.159472604152093,0.0433208842617361
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-75,LRD,0.156685011725044,0.159523901309887,-0.0181184502179756
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-74,ERD,0.187047596837171,0.157984986576047,0.155375480639954
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-74,LRD,0.145709491580053,0.154060754004754,-0.0573144709664494
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-73,ERD,0.174423172257252,0.160216412940115,0.0814499537720996
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-73,LRD,0.15706347793694,0.152968124543727,0.0260745110639733
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-72,ERD,0.174938454893167,0.159472604152093,0.0884073816161168
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-72,LRD,0.152521883394185,0.149908762052853,0.0171327633988034
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-71,ERD,0.189624010016746,0.161704030516161,0.147238630266913
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-71,LRD,0.146087957791949,0.165205574507226,-0.130863741298257
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-70,ERD,0.170558552487888,0.162150315788975,0.0492982414324304
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-70,LRD,0.162362004903488,0.159086849525477,0.020171932343149
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-69,ERD,0.175711378847039,0.154712227908747,0.119509340124028
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-69,LRD,0.154792680665563,0.15100139151388,0.0244926900637802
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-68,ERD,0.166436291400568,0.162596601061788,0.0230700306193342
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-68,LRD,0.158955808996422,0.155808961142397,0.0197969981335863
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-67,ERD,0.174165530939294,0.15188575451426,0.127922995468029
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-67,LRD,0.161983538691591,0.163238841477378,-0.00774957008549105
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-66,ERD,0.174680813575209,0.156646130757606,0.103243638774549
Initiation Zones,.,0,100,0,.,CPD,early,Damage_seq,+,-66,LRD,0.153657282029874,0.149253184376237,0.0286618219160023
