chromosomes,start_position,end_position,dataset,score,dataset_strand,product,windows,phase,time_after_exposure,repdomains,sample_strand,replicate,real,sim,xr_ds,direction,log2val
.,0,100,Initiation Zones,0,.,CPD,-1,late,12,ERD,-,_,1.74061255407745,1.41659976786265,1.22872570895848,Left Replicating,0.29716289578332
.,0,100,Initiation Zones,0,.,CPD,-1,late,12,ERD,+,_,1.86910634430401,1.45744362078592,1.28245533319231,Left Replicating,0.358908578889528
.,0,100,Initiation Zones,0,.,CPD,-1,late,12,LRD,-,_,0.49370379184083,0.80696708189762,0.611801649554109,Left Replicating,-0.708864098157437
.,0,100,Initiation Zones,0,.,CPD,-1,late,12,LRD,+,_,0.519333223657703,0.78577492103415,0.66091855282708,Left Replicating,-0.597455600268369
.,0,100,Initiation Zones,0,.,CPD,-10,late,12,ERD,-,_,1.84822606023355,1.49942924475313,1.23261972293854,Left Replicating,0.301727780721818
.,0,100,Initiation Zones,0,.,CPD,-10,late,12,ERD,+,_,1.74255610582667,1.59744053666477,1.09084254833352,Left Replicating,0.125442878809718
.,0,100,Initiation Zones,0,.,CPD,-10,late,12,LRD,-,_,0.412169225125161,0.734173659561494,0.561405628977946,Left Replicating,-0.832884565668461
.,0,100,Initiation Zones,0,.,CPD,-10,late,12,LRD,+,_,0.532565683901892,0.66970988529131,0.79521849027245,Left Replicating,-0.330576792320369
.,0,100,Initiation Zones,0,.,CPD,-100,late,12,ERD,-,_,1.7943080597861,1.5280328543222,1.17426013106375,Left Replicating,0.231752040666068
.,0,100,Initiation Zones,0,.,CPD,-100,late,12,ERD,+,_,1.71371468054377,1.5470295033356,1.10774531245123,Left Replicating,0.147626221910592
.,0,100,Initiation Zones,0,.,CPD,-100,late,12,LRD,-,_,0.350853096009965,0.864483681918226,0.405852768940008,Left Replicating,-1.30097163851957
.,0,100,Initiation Zones,0,.,CPD,-100,late,12,LRD,+,_,0.376303174471868,0.753670088933485,0.499294293348397,Left Replicating,-1.00203767731412
.,0,100,Initiation Zones,0,.,CPD,-11,late,12,ERD,-,_,1.63646250353479,1.50604906221456,1.0865930895561,Left Replicating,0.119811776993174
.,0,100,Initiation Zones,0,.,CPD,-11,late,12,ERD,+,_,1.80248136277264,1.58886428427089,1.13444639710042,Left Replicating,0.181988442889165
.,0,100,Initiation Zones,0,.,CPD,-11,late,12,LRD,-,_,0.489985154507514,0.755048958797219,0.648944878075261,Left Replicating,-0.623832155191135
.,0,100,Initiation Zones,0,.,CPD,-11,late,12,LRD,+,_,0.464330334983485,0.688789939003314,0.67412473482899,Left Replicating,-0.568912533644167
.,0,100,Initiation Zones,0,.,CPD,-12,late,12,ERD,-,_,1.6265435002508,1.55126513502314,1.04852707865863,Left Replicating,0.068364120129843
.,0,100,Initiation Zones,0,.,CPD,-12,late,12,ERD,+,_,1.65703608904832,1.55988425544509,1.06228143739774,Left Replicating,0.0871660397271649
.,0,100,Initiation Zones,0,.,CPD,-12,late,12,LRD,-,_,0.509225481684567,0.805174907881695,0.63244082335386,Left Replicating,-0.660997599820268
.,0,100,Initiation Zones,0,.,CPD,-12,late,12,LRD,+,_,0.406382729674612,0.690927116898482,0.588170184286344,Left Replicating,-0.765694442373501
.,0,100,Initiation Zones,0,.,CPD,-13,late,12,ERD,-,_,1.65503710994572,1.46397244590103,1.1305111066671,Left Replicating,0.176975165866383
.,0,100,Initiation Zones,0,.,CPD,-13,late,12,ERD,+,_,1.89229956976471,1.54009956687216,1.22868651512437,Left Replicating,0.297116876031686
.,0,100,Initiation Zones,0,.,CPD,-13,late,12,LRD,-,_,0.403607494519299,0.721501243674129,0.559399582548178,Left Replicating,-0.838048917683729
.,0,100,Initiation Zones,0,.,CPD,-13,late,12,LRD,+,_,0.452069636599194,0.662066335073148,0.682816226487709,Left Replicating,-0.550430751818739
.,0,100,Initiation Zones,0,.,CPD,-14,late,12,ERD,-,_,1.92487143328026,1.54853798153613,1.24302500567071,Left Replicating,0.313855319072832
.,0,100,Initiation Zones,0,.,CPD,-14,late,12,ERD,+,_,1.79923660232674,1.62313036985675,1.10849789748283,Left Replicating,0.148606033810121
.,0,100,Initiation Zones,0,.,CPD,-14,late,12,LRD,-,_,0.387258836513454,0.876490399722646,0.441828954014782,Left Replicating,-1.17844013014436
.,0,100,Initiation Zones,0,.,CPD,-14,late,12,LRD,+,_,0.530430891240392,0.646130743385284,0.820934302647939,Left Replicating,-0.28466132359862
.,0,100,Initiation Zones,0,.,CPD,-15,late,12,ERD,-,_,1.64670616372119,1.57532320456881,1.04531321505666,Left Replicating,0.063935292643998
.,0,100,Initiation Zones,0,.,CPD,-15,late,12,ERD,+,_,1.8473491448202,1.64389626753899,1.12376260065715,Left Replicating,0.168337292650659
.,0,100,Initiation Zones,0,.,CPD,-15,late,12,LRD,-,_,0.488686765483325,0.832984217654088,0.586669897371647,Left Replicating,-0.769379127126958
.,0,100,Initiation Zones,0,.,CPD,-15,late,12,LRD,+,_,0.44086570776137,0.728291539866159,0.605342343867388,Left Replicating,-0.724176823385202
.,0,100,Initiation Zones,0,.,CPD,-16,late,12,ERD,-,_,1.79979871584036,1.42514621195213,1.26288706432096,Left Replicating,0.336725629601243
.,0,100,Initiation Zones,0,.,CPD,-16,late,12,ERD,+,_,1.76779183446026,1.45907826461766,1.21158122722327,Left Replicating,0.27689112966247
.,0,100,Initiation Zones,0,.,CPD,-16,late,12,LRD,-,_,0.415857974667026,0.854863774403604,0.486461103065397,Left Replicating,-1.03960364169619
.,0,100,Initiation Zones,0,.,CPD,-16,late,12,LRD,+,_,0.484627631950295,0.711409597077388,0.681221667434965,Left Replicating,-0.553803771726696
.,0,100,Initiation Zones,0,.,CPD,-17,late,12,ERD,-,_,1.84360273513853,1.6257483220662,1.13400254523742,Left Replicating,0.181423878372982
.,0,100,Initiation Zones,0,.,CPD,-17,late,12,ERD,+,_,1.82821366935594,1.3557585520824,1.34848027810546,Left Replicating,0.431334421916484
.,0,100,Initiation Zones,0,.,CPD,-17,late,12,LRD,-,_,0.467177435846292,0.889193159138916,0.525394770579096,Left Replicating,-0.928526253945988
.,0,100,Initiation Zones,0,.,CPD,-17,late,12,LRD,+,_,0.489351809949528,0.730408666435538,0.669969884582025,Left Replicating,-0.577831847586565
.,0,100,Initiation Zones,0,.,CPD,-18,late,12,ERD,-,_,1.64033888204636,1.4710806864978,1.11505704418668,Left Replicating,0.157117517553757
.,0,100,Initiation Zones,0,.,CPD,-18,late,12,ERD,+,_,1.71508724110428,1.57984689332724,1.08560345204859,Left Replicating,0.11849721342049
.,0,100,Initiation Zones,0,.,CPD,-18,late,12,LRD,-,_,0.413914399926439,0.962911124820424,0.429857324582921,Left Replicating,-1.21807020547483
.,0,100,Initiation Zones,0,.,CPD,-18,late,12,LRD,+,_,0.467595989932873,0.716664417335944,0.652461568653103,Left Replicating,-0.61603516844845
