repdomains,log2val,sample_strand,direction,windows
ERD,0.29716289578332,-,Left Replicating,-1
ERD,0.358908578889528,+,Left Replicating,-1
LRD,-0.708864098157437,-,Left Replicating,-1
LRD,-0.597455600268369,+,Left Replicating,-1
ERD,0.301727780721818,-,Left Replicating,-10
ERD,0.125442878809718,+,Left Replicating,-10
LRD,-0.832884565668461,-,Left Replicating,-10
LRD,-0.330576792320369,+,Left Replicating,-10
ERD,0.231752040666068,-,Left Replicating,-100
ERD,0.147626221910592,+,Left Replicating,-100
LRD,-1.30097163851957,-,Left Replicating,-100
LRD,-1.00203767731412,+,Left Replicating,-100
ERD,0.119811776993174,-,Left Replicating,-11
ERD,0.181988442889165,+,Left Replicating,-11
LRD,-0.623832155191135,-,Left Replicating,-11
LRD,-0.568912533644167,+,Left Replicating,-11
ERD,0.068364120129843,-,Left Replicating,-12
ERD,0.0871660397271649,+,Left Replicating,-12
LRD,-0.660997599820268,-,Left Replicating,-12
LRD,-0.765694442373501,+,Left Replicating,-12
ERD,0.176975165866383,-,Left Replicating,-13
ERD,0.297116876031686,+,Left Replicating,-13
LRD,-0.838048917683729,-,Left Replicating,-13
LRD,-0.550430751818739,+,Left Replicating,-13
ERD,0.313855319072832,-,Left Replicating,-14
ERD,0.148606033810121,+,Left Replicating,-14
LRD,-1.17844013014436,-,Left Replicating,-14
LRD,-0.28466132359862,+,Left Replicating,-14
ERD,0.063935292643998,-,Left Replicating,-15
ERD,0.168337292650659,+,Left Replicating,-15
LRD,-0.769379127126958,-,Left Replicating,-15
LRD,-0.724176823385202,+,Left Replicating,-15
ERD,0.336725629601243,-,Left Replicating,-16
ERD,0.27689112966247,+,Left Replicating,-16
LRD,-1.03960364169619,-,Left Replicating,-16
LRD,-0.553803771726696,+,Left Replicating,-16
ERD,0.181423878372982,-,Left Replicating,-17
ERD,0.431334421916484,+,Left Replicating,-17
LRD,-0.928526253945988,-,Left Replicating,-17
LRD,-0.577831847586565,+,Left Replicating,-17
ERD,0.157117517553757,-,Left Replicating,-18
ERD,0.11849721342049,+,Left Replicating,-18
LRD,-1.21807020547483,-,Left Replicating,-18
LRD,-0.61603516844845,+,Left Replicating,-18
ERD,0.148490253537793,-,Left Replicating,-19
ERD,0.414169600592776,+,Left Replicating,-19
LRD,-0.908906358753342,-,Left Replicating,-19
LRD,0.0708767402567197,+,Left Replicating,-19
ERD,0.255124163702122,-,Left Replicating,-2
ERD,0.0311424417160423,+,Left Replicating,-2
LRD,-0.714832889516435,-,Left Replicating,-2
LRD,-0.611042172902127,+,Left Replicating,-2
ERD,0.174048450117278,-,Left Replicating,-20
ERD,0.38232635493673,+,Left Replicating,-20
LRD,-0.746638947857695,-,Left Replicating,-20
LRD,-0.444951083387622,+,Left Replicating,-20
ERD,0.267212794741872,-,Left Replicating,-21
ERD,0.272076079492363,+,Left Replicating,-21
LRD,-1.05246767911686,-,Left Replicating,-21
LRD,-0.708195560447895,+,Left Replicating,-21
ERD,0.187532598960791,-,Left Replicating,-22
ERD,-0.0842682328874361,+,Left Replicating,-22
LRD,-0.646713652073638,-,Left Replicating,-22
LRD,-0.672082638011455,+,Left Replicating,-22
ERD,0.134900869015613,-,Left Replicating,-23
ERD,-0.01791222641494,+,Left Replicating,-23
LRD,-1.08186243529099,-,Left Replicating,-23
LRD,-0.879184308514118,+,Left Replicating,-23
ERD,0.0685391283917251,-,Left Replicating,-24
ERD,0.193791937571348,+,Left Replicating,-24
LRD,-1.02017901451799,-,Left Replicating,-24
LRD,-0.557356459813865,+,Left Replicating,-24
ERD,0.151862427318545,-,Left Replicating,-25
ERD,0.081447797896369,+,Left Replicating,-25
LRD,-0.61932651805179,-,Left Replicating,-25
LRD,-0.305734409590153,+,Left Replicating,-25
ERD,0.201124684303432,-,Left Replicating,-26
ERD,0.455256826388622,+,Left Replicating,-26
LRD,-1.19152923436573,-,Left Replicating,-26
LRD,-0.664685364839066,+,Left Replicating,-26
ERD,0.000375272390751342,-,Left Replicating,-27
ERD,0.0589994640685825,+,Left Replicating,-27
LRD,-1.06745423749432,-,Left Replicating,-27
LRD,-0.742395043800973,+,Left Replicating,-27
ERD,0.359503683742777,-,Left Replicating,-28
ERD,0.0503901201422509,+,Left Replicating,-28
LRD,-1.0029061492056,-,Left Replicating,-28
LRD,-0.731173711449222,+,Left Replicating,-28
ERD,0.371313010337618,-,Left Replicating,-29
ERD,0.343877536420822,+,Left Replicating,-29
LRD,-1.07561529135163,-,Left Replicating,-29
LRD,-0.550638344839214,+,Left Replicating,-29
ERD,0.167336227643722,-,Left Replicating,-3
ERD,0.178051375542286,+,Left Replicating,-3
LRD,-0.529450370439601,-,Left Replicating,-3
LRD,-0.454388134675264,+,Left Replicating,-3
ERD,0.0949601105534055,-,Left Replicating,-30
ERD,0.358850524940297,+,Left Replicating,-30
LRD,-0.920125715393803,-,Left Replicating,-30
LRD,-0.874987502161978,+,Left Replicating,-30
ERD,0.134351625549048,-,Left Replicating,-31
ERD,-0.0295791249051475,+,Left Replicating,-31
LRD,-0.897267124322866,-,Left Replicating,-31
LRD,-0.401880715243741,+,Left Replicating,-31
ERD,0.108307471481039,-,Left Replicating,-32
ERD,0.174368953960112,+,Left Replicating,-32
LRD,-1.07622605197461,-,Left Replicating,-32
LRD,-0.518794500312156,+,Left Replicating,-32
ERD,0.0885816027440719,-,Left Replicating,-33
ERD,0.219391545032135,+,Left Replicating,-33
LRD,-1.09289759656074,-,Left Replicating,-33
LRD,-0.476402498998554,+,Left Replicating,-33
ERD,0.0624977706448252,-,Left Replicating,-34
ERD,0.275888117272257,+,Left Replicating,-34
LRD,-1.2830676981086,-,Left Replicating,-34
LRD,-0.536437479739239,+,Left Replicating,-34
ERD,-0.0732934089484847,-,Left Replicating,-35
ERD,0.0790816815063588,+,Left Replicating,-35
LRD,-1.14665150010405,-,Left Replicating,-35
LRD,-0.945576233410411,+,Left Replicating,-35
ERD,0.129914735403588,-,Left Replicating,-36
ERD,0.0506273517582011,+,Left Replicating,-36
LRD,-0.943529787678942,-,Left Replicating,-36
LRD,-0.822889188118265,+,Left Replicating,-36
ERD,0.165352729370736,-,Left Replicating,-37
ERD,0.184673586308613,+,Left Replicating,-37
LRD,-1.68363692266124,-,Left Replicating,-37
LRD,-0.873735229068513,+,Left Replicating,-37
ERD,0.290571304430063,-,Left Replicating,-38
ERD,0.201144529928797,+,Left Replicating,-38
LRD,-0.996314638258004,-,Left Replicating,-38
LRD,-0.612893075427155,+,Left Replicating,-38
ERD,-0.0104659341798906,-,Left Replicating,-39
ERD,0.169201654030039,+,Left Replicating,-39
LRD,-1.40891120136747,-,Left Replicating,-39
LRD,-0.725292820812553,+,Left Replicating,-39
ERD,0.473515607967605,-,Left Replicating,-4
ERD,0.343328951591717,+,Left Replicating,-4
LRD,-0.66926269651367,-,Left Replicating,-4
LRD,-0.151810881974148,+,Left Replicating,-4
ERD,0.356471690951943,-,Left Replicating,-40
ERD,0.348783711340783,+,Left Replicating,-40
LRD,-1.3596877239585,-,Left Replicating,-40
LRD,-1.3407730067781,+,Left Replicating,-40
ERD,0.084697441210177,-,Left Replicating,-41
ERD,0.088587078727668,+,Left Replicating,-41
LRD,-1.15035140654171,-,Left Replicating,-41
LRD,-1.01557709939562,+,Left Replicating,-41
ERD,0.227413047471058,-,Left Replicating,-42
ERD,0.152127336501415,+,Left Replicating,-42
LRD,-1.08502585996496,-,Left Replicating,-42
LRD,-0.746127203486474,+,Left Replicating,-42
ERD,0.233254330130593,-,Left Replicating,-43
ERD,0.462311598781644,+,Left Replicating,-43
LRD,-1.4675846313714,-,Left Replicating,-43
LRD,-0.452735497103168,+,Left Replicating,-43
ERD,0.292652462329891,-,Left Replicating,-44
ERD,0.139137786287479,+,Left Replicating,-44
LRD,-1.04821295853074,-,Left Replicating,-44
LRD,-0.582768873705002,+,Left Replicating,-44
ERD,0.190145977537489,-,Left Replicating,-45
ERD,0.294954392934148,+,Left Replicating,-45
LRD,-0.752840982002329,-,Left Replicating,-45
LRD,-0.589330771756577,+,Left Replicating,-45
ERD,0.0676057625476221,-,Left Replicating,-46
ERD,0.117957971615296,+,Left Replicating,-46
LRD,-1.24114128328539,-,Left Replicating,-46
LRD,-1.17772737731306,+,Left Replicating,-46
ERD,0.239113361480776,-,Left Replicating,-47
ERD,0.269077160057047,+,Left Replicating,-47
LRD,-1.12906439442941,-,Left Replicating,-47
LRD,-0.592486339959959,+,Left Replicating,-47
ERD,-0.0440908157808245,-,Left Replicating,-48
ERD,0.0865383469186482,+,Left Replicating,-48
LRD,-1.13567562243651,-,Left Replicating,-48
LRD,-0.756315797916761,+,Left Replicating,-48
ERD,0.233250859175791,-,Left Replicating,-49
ERD,0.409139896045786,+,Left Replicating,-49
LRD,-1.25460399862782,-,Left Replicating,-49
LRD,-0.416500614128603,+,Left Replicating,-49
ERD,0.0388006447738352,-,Left Replicating,-5
ERD,0.444862387937537,+,Left Replicating,-5
LRD,-0.87450673183182,-,Left Replicating,-5
LRD,-0.748444929078035,+,Left Replicating,-5
ERD,0.487527737402914,-,Left Replicating,-50
ERD,0.279020422746266,+,Left Replicating,-50
LRD,-1.14555351737381,-,Left Replicating,-50
LRD,-0.675786465509717,+,Left Replicating,-50
ERD,0.196131319910677,-,Left Replicating,-51
ERD,0.295488346286457,+,Left Replicating,-51
LRD,-1.09605033983083,-,Left Replicating,-51
LRD,-0.514147586530441,+,Left Replicating,-51
ERD,0.209226367395372,-,Left Replicating,-52
ERD,0.295997702287782,+,Left Replicating,-52
LRD,-1.05866657999125,-,Left Replicating,-52
LRD,-0.801191426945717,+,Left Replicating,-52
ERD,0.255413499117095,-,Left Replicating,-53
ERD,0.498219002336447,+,Left Replicating,-53
LRD,-1.01937904351989,-,Left Replicating,-53
LRD,-0.727628960540136,+,Left Replicating,-53
ERD,0.274670223548363,-,Left Replicating,-54
ERD,0.385729589055661,+,Left Replicating,-54
LRD,-1.04979774155844,-,Left Replicating,-54
LRD,-0.713087579673423,+,Left Replicating,-54
ERD,0.162728262837518,-,Left Replicating,-55
ERD,0.39578617094782,+,Left Replicating,-55
LRD,-1.05190731482775,-,Left Replicating,-55
LRD,-0.830869187974252,+,Left Replicating,-55
ERD,-0.180577916395169,-,Left Replicating,-56
ERD,-0.0309841808598604,+,Left Replicating,-56
LRD,-1.2833019789773,-,Left Replicating,-56
LRD,-0.814879756653245,+,Left Replicating,-56
ERD,0.242818833807457,-,Left Replicating,-57
ERD,0.340466446892603,+,Left Replicating,-57
LRD,-1.20233744706776,-,Left Replicating,-57
LRD,-0.681254524296479,+,Left Replicating,-57
ERD,0.252218839398061,-,Left Replicating,-58
ERD,0.226060742029632,+,Left Replicating,-58
LRD,-1.03179415975931,-,Left Replicating,-58
LRD,-0.50758070589501,+,Left Replicating,-58
ERD,0.222295969163142,-,Left Replicating,-59
ERD,0.301570322552468,+,Left Replicating,-59
LRD,-0.96982460864148,-,Left Replicating,-59
