chromosomes,start_position,end_position,dataset,score,dataset_strand,product,windows,phase,time_after_exposure,repdomains,sample_strand,replicate,real,sim,xr_ds,direction,log2val
.,0,100,Initiation Zones,0,.,CPD,-1,early,12,ERD,-,_,2.07402584135082,1.50926784647311,1.37419335222535,Left Replicating,0.458585009011465
.,0,100,Initiation Zones,0,.,CPD,-1,early,12,ERD,+,_,2.34340375388129,1.55256913778954,1.50937159372993,Left Replicating,0.593948028154134
.,0,100,Initiation Zones,0,.,CPD,-1,early,12,LRD,-,_,0.456803850659121,0.798349519357549,0.572185289253662,Left Replicating,-0.805445688092411
.,0,100,Initiation Zones,0,.,CPD,-1,early,12,LRD,+,_,0.44653859558813,0.768970290693557,0.580696811037243,Left Replicating,-0.78414298354934
.,0,100,Initiation Zones,0,.,CPD,-10,early,12,ERD,-,_,2.06008892036213,1.53426053946655,1.34272430748849,Left Replicating,0.425163116344633
.,0,100,Initiation Zones,0,.,CPD,-10,early,12,ERD,+,_,1.94880583935605,1.66775097876026,1.16852327726092,Left Replicating,0.224686473234483
.,0,100,Initiation Zones,0,.,CPD,-10,early,12,LRD,-,_,0.362306230050668,0.856473662710429,0.423020865468414,Left Replicating,-1.2411992689762
.,0,100,Initiation Zones,0,.,CPD,-10,early,12,LRD,+,_,0.410688414306867,0.787016155216353,0.521829712877962,Left Replicating,-0.93834900163032
.,0,100,Initiation Zones,0,.,CPD,-100,early,12,ERD,-,_,2.06220918100087,1.56409536077224,1.31846767960663,Left Replicating,0.398862205982342
.,0,100,Initiation Zones,0,.,CPD,-100,early,12,ERD,+,_,2.06317077746513,1.66611539427635,1.23831205482693,Left Replicating,0.308374919739018
.,0,100,Initiation Zones,0,.,CPD,-100,early,12,LRD,-,_,0.378641927679525,0.940380254217166,0.402647680001247,Left Replicating,-1.31241007407272
.,0,100,Initiation Zones,0,.,CPD,-100,early,12,LRD,+,_,0.392556599405129,0.807678482827455,0.486030775551799,Left Replicating,-1.04088042646735
.,0,100,Initiation Zones,0,.,CPD,-11,early,12,ERD,-,_,2.22044070566001,1.61442284762438,1.37537740433207,Left Replicating,0.459827549290923
.,0,100,Initiation Zones,0,.,CPD,-11,early,12,ERD,+,_,2.08696322546874,1.61243942045847,1.29428938476048,Left Replicating,0.372160219558017
