repdomains,log2val,sample_strand,direction,windows
ERD,-0.178534895799619,-,Left Replicating,-1
ERD,-0.0636650267507492,+,Left Replicating,-1
LRD,-0.369086482689178,-,Left Replicating,-1
LRD,-0.174856807831075,+,Left Replicating,-1
ERD,-0.071859357845529,-,Left Replicating,-10
ERD,-0.210961983502742,+,Left Replicating,-10
LRD,-0.539841543570368,-,Left Replicating,-10
LRD,-0.287919982351833,+,Left Replicating,-10
ERD,-0.329827764444668,-,Left Replicating,-100
ERD,-0.0900557771338934,+,Left Replicating,-100
LRD,-0.580906525592183,-,Left Replicating,-100
LRD,-0.382336796241778,+,Left Replicating,-100
ERD,-0.134674718920263,-,Left Replicating,-11
ERD,-0.0789578077015497,+,Left Replicating,-11
LRD,-0.227400459681765,-,Left Replicating,-11
LRD,-0.177564129915296,+,Left Replicating,-11
ERD,-0.138849240197143,-,Left Replicating,-12
ERD,-0.0972948271256105,+,Left Replicating,-12
LRD,-0.411018329457225,-,Left Replicating,-12
LRD,-0.433500823383423,+,Left Replicating,-12
ERD,-0.245070762316992,-,Left Replicating,-13
ERD,-0.259398915534191,+,Left Replicating,-13
LRD,-0.446634977024543,-,Left Replicating,-13
LRD,-0.324596682658731,+,Left Replicating,-13
ERD,-0.0565152461822906,-,Left Replicating,-14
ERD,-0.13354019826035,+,Left Replicating,-14
LRD,-0.529119081563497,-,Left Replicating,-14
LRD,-0.327925829820576,+,Left Replicating,-14
ERD,-0.129614827643606,-,Left Replicating,-15
ERD,0.000205388749905332,+,Left Replicating,-15
LRD,-0.568190117518558,-,Left Replicating,-15
LRD,-0.284294072004657,+,Left Replicating,-15
ERD,-0.129057222398776,-,Left Replicating,-16
ERD,-0.138823539914403,+,Left Replicating,-16
LRD,-0.456398526298723,-,Left Replicating,-16
LRD,-0.201713176627292,+,Left Replicating,-16
ERD,-0.128583601011223,-,Left Replicating,-17
ERD,-0.133619914762916,+,Left Replicating,-17
LRD,-0.49962244321937,-,Left Replicating,-17
LRD,-0.270081039269096,+,Left Replicating,-17
ERD,-0.215100385457887,-,Left Replicating,-18
ERD,-0.187682947545308,+,Left Replicating,-18
LRD,-0.524176913871226,-,Left Replicating,-18
LRD,-0.276054641689038,+,Left Replicating,-18
ERD,-0.381969232107344,-,Left Replicating,-19
ERD,-0.220200939093393,+,Left Replicating,-19
LRD,-0.517908057991334,-,Left Replicating,-19
LRD,-0.0800732129445412,+,Left Replicating,-19
