oligomer_length,counts,sample
11,2,CPD 120 min.
12,5,CPD 120 min.
13,39,CPD 120 min.
14,243,CPD 120 min.
15,1359,CPD 120 min.
16,6219,CPD 120 min.
17,16358,CPD 120 min.
18,24903,CPD 120 min.
19,39343,CPD 120 min.
20,73833,CPD 120 min.
21,173603,CPD 120 min.
22,492674,CPD 120 min.
23,1434985,CPD 120 min.
24,3857020,CPD 120 min.
25,7908977,CPD 120 min.
26,10648396,CPD 120 min.
27,9582953,CPD 120 min.
28,5860474,CPD 120 min.
29,2325321,CPD 120 min.
30,630227,CPD 120 min.
31,125624,CPD 120 min.
32,20348,CPD 120 min.
33,3399,CPD 120 min.
34,804,CPD 120 min.
35,383,CPD 120 min.
36,264,CPD 120 min.
37,205,CPD 120 min.
38,156,CPD 120 min.
39,85,CPD 120 min.
40,55,CPD 120 min.
41,57,CPD 120 min.
42,43,CPD 120 min.
43,38,CPD 120 min.
44,29,CPD 120 min.
45,28,CPD 120 min.
46,25,CPD 120 min.
47,22,CPD 120 min.
48,18,CPD 120 min.
49,8,CPD 120 min.
50,13,CPD 120 min.
51,12,CPD 120 min.
52,7,CPD 120 min.
53,7,CPD 120 min.
54,5,CPD 120 min.
55,4,CPD 120 min.
56,5,CPD 120 min.
57,2,CPD 120 min.
58,5,CPD 120 min.
59,2,CPD 120 min.
60,3,CPD 120 min.
61,1,CPD 120 min.
62,1,CPD 120 min.
