dinucleotides,positions,counts,freq,method,product
CC,1-2,596106,5.59808256567468,XR-seq,CPD
CT,1-2,993975,9.33450446433435,XR-seq,CPD
TC,1-2,275816,2.59021170888085,XR-seq,CPD
TT,1-2,253926,2.3846408416817,XR-seq,CPD
CC,2-3,535774,5.03149957984282,XR-seq,CPD
CT,2-3,733441,6.88780732797691,XR-seq,CPD
TC,2-3,590647,5.5468166285326,XR-seq,CPD
TT,2-3,651890,6.12195489348818,XR-seq,CPD
CC,3-4,749274,7.03649638875188,XR-seq,CPD
CT,3-4,1003604,9.42493122907901,XR-seq,CPD
TC,3-4,657396,6.1736622116608,XR-seq,CPD
TT,3-4,756877,7.10789681375486,XR-seq,CPD
CC,4-5,855730,8.03623381399415,XR-seq,CPD
CT,4-5,1061083,9.96472144724896,XR-seq,CPD
TC,4-5,880948,8.27305821458931,XR-seq,CPD
TT,4-5,848802,7.97117237187648,XR-seq,CPD
CC,5-6,779471,7.32007900532625,XR-seq,CPD
CT,5-6,1084126,10.1811202363248,XR-seq,CPD
TC,5-6,674311,6.33251242722378,XR-seq,CPD
TT,5-6,920577,8.64521755201441,XR-seq,CPD
CC,6-7,619550,5.81824718013868,XR-seq,CPD
CT,6-7,852569,8.00654859191938,XR-seq,CPD
TC,6-7,631752,5.93283720853357,XR-seq,CPD
TT,6-7,1007463,9.46117142901147,XR-seq,CPD
CC,7-8,405362,3.80678930422948,XR-seq,CPD
CT,7-8,1016248,9.54367211737805,XR-seq,CPD
TC,7-8,441949,4.15038095878478,XR-seq,CPD
TT,7-8,1162491,10.9170526715949,XR-seq,CPD
CC,8-9,314812,2.95642648902238,XR-seq,CPD
CT,8-9,636505,5.9774730391319,XR-seq,CPD
TC,8-9,462795,4.34614753245465,XR-seq,CPD
TT,8-9,1075345,10.0986571123012,XR-seq,CPD
CC,9-10,410031,3.85063628362431,XR-seq,CPD
CT,9-10,457313,4.29466560034018,XR-seq,CPD
TC,9-10,527536,4.95413581538478,XR-seq,CPD
TT,9-10,697829,6.55337198203373,XR-seq,CPD
CC,10-11,799330,7.50657657735494,XR-seq,CPD
CT,10-11,660786,6.20549799237369,XR-seq,CPD
TC,10-11,630219,5.9184406740696,XR-seq,CPD
TT,10-11,663413,6.23016837465474,XR-seq,CPD
CC,11-12,1192859,11.2022411638335,XR-seq,CPD
CT,11-12,839659,7.88530967480924,XR-seq,CPD
TC,11-12,833303,7.82561993374401,XR-seq,CPD
TT,11-12,689409,6.47429903996809,XR-seq,CPD
CC,12-13,1217154,11.4303975922759,XR-seq,CPD
CT,12-13,987254,9.27138697696817,XR-seq,CPD
TC,12-13,744757,6.99407685439197,XR-seq,CPD
TT,12-13,680088,6.38676472963628,XR-seq,CPD
CC,13-14,1029971,9.67254598720784,XR-seq,CPD
CT,13-14,1027622,9.65048632676696,XR-seq,CPD
TC,13-14,789630,7.4154830455216,XR-seq,CPD
TT,13-14,791992,7.4376647900773,XR-seq,CPD
CC,14-15,965742,9.06936594018479,XR-seq,CPD
CT,14-15,873025,8.19865264214441,XR-seq,CPD
TC,14-15,872609,8.19474595046991,XR-seq,CPD
TT,14-15,832190,7.81516765529757,XR-seq,CPD
CC,15-16,769963,7.23078856195806,XR-seq,CPD
CT,15-16,1016611,9.54708108150749,XR-seq,CPD
