dinucleotides,positions,counts,freq,product,method
CC,-6--5,1596442,5.5804499232988,CPD,Damage-seq
CT,-6--5,2384838,8.33633106256291,CPD,Damage-seq
TC,-6--5,2226548,7.78301975005737,CPD,Damage-seq
TT,-6--5,4577392,16.0005229349444,CPD,Damage-seq
CC,-5--4,1716125,5.99880836549098,CPD,Damage-seq
CT,-5--4,2480944,8.67227481769373,CPD,Damage-seq
TC,-5--4,2478350,8.66320734947312,CPD,Damage-seq
TT,-5--4,4668706,16.3197159931928,CPD,Damage-seq
CC,-4--3,1587063,5.54766511819431,CPD,Damage-seq
CT,-4--3,3236630,11.3138163711845,CPD,Damage-seq
TC,-4--3,2109800,7.37492076015026,CPD,Damage-seq
TT,-4--3,6249292,21.8447404052711,CPD,Damage-seq
CC,-3--2,420693,1.47055528455299,CPD,Damage-seq
CT,-3--2,4750721,16.6064038906919,CPD,Damage-seq
TC,-3--2,1332251,4.65695589991039,CPD,Damage-seq
TT,-3--2,12300438,42.9968506802262,CPD,Damage-seq
CC,-2--1,455118,1.59088974619304,CPD,Damage-seq
CT,-2--1,1661376,5.80743025538696,CPD,Damage-seq
TC,-2--1,1951023,6.81990711263183,CPD,Damage-seq
TT,-2--1,21400521,74.8066862266241,CPD,Damage-seq
CC,-1-0,503772,1.76096245197764,CPD,Damage-seq
CT,-1-0,732876,2.56180795668589,CPD,Damage-seq
TC,-1-0,5847194,20.4391849555532,CPD,Damage-seq
TT,-1-0,8629703,30.1655966483226,CPD,Damage-seq
CC,0-1,2537766,8.87089921215446,CPD,Damage-seq
CT,0-1,2823894,9.87107521332058,CPD,Damage-seq
TC,0-1,1874998,6.55415758623576,CPD,Damage-seq
TT,0-1,4533163,15.8459180575623,CPD,Damage-seq
CC,1-2,3191953,11.1576454854128,CPD,Damage-seq
CT,1-2,2224183,7.77475276380381,CPD,Damage-seq
TC,1-2,3313477,11.5824392433313,CPD,Damage-seq
TT,1-2,5053574,17.6650430398879,CPD,Damage-seq
CC,2-3,2989239,10.4490476624091,CPD,Damage-seq
CT,2-3,3632093,12.6961788171848,CPD,Damage-seq
TC,2-3,2979210,10.4139907469178,CPD,Damage-seq
TT,2-3,4776623,16.6969457418292,CPD,Damage-seq
