dataset,sample_names,cell_line,product,method,phase,time_after_exposure,replicate,sample_strand,windows,real,sim,xr_ds
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-1,0.18225874342466,0.174269175617368,1.04584613302375
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-10,0.182026211218198,0.168398948553514,1.08092249257931
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-100,0.1710971975145,0.171155403000889,0.999659926094249
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-11,0.182119224100783,0.170338675757222,1.06915956280153
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-12,0.179979927801336,0.167531175857118,1.07430707676066
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-13,0.189978812679188,0.174575448333743,1.08823327960755
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-14,0.191187980152788,0.178352811835701,1.07196504605103
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-15,0.19202509609605,0.172993039299139,1.11001631553511
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-16,0.188072048586202,0.170287630304493,1.10443752285418
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-17,0.188816151646879,0.178914311815722,1.05534403441887
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-18,0.180910056627182,0.167633266762576,1.07920140268704
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-19,0.180956563068475,0.17049181211541,1.06137978606258
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-2,0.188955670970756,0.169011493986264,1.11800485584793
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-20,0.178538228121273,0.173197221110055,1.03083771770116
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-21,0.172957455166193,0.168807312175347,1.02458509016798
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-22,0.179421850505828,0.169521948513555,1.05839893936496
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-23,0.17528277723081,0.16375381235516,1.07040425324966
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-24,0.180398485772967,0.166408175897076,1.08407225065999
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-25,0.164400269968404,0.166612357707993,0.986723147250179
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-26,0.176398931821826,0.173095130204597,1.01908662371566
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-27,0.178352202356104,0.168245812195326,1.06006919297964
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-28,0.17607338673278,0.167531175857118,1.05098878362166
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-29,0.176631464028288,0.175392175577409,1.00706581377874
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-3,0.184770091254446,0.171870039339097,1.07505701380505
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-30,0.174027103315917,0.174830675597388,0.995403711169531
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-31,0.1710971975145,0.169930312135389,1.00686684655873
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-32,0.17030658801253,0.171563766622722,0.992672237064155
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-33,0.182165730542075,0.17534113012468,1.03892184573319
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-34,0.166446553385266,0.173605584731889,0.95876266677896
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-35,0.177933644384473,0.171818993886368,1.03558774475277
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-36,0.180538005096844,0.172431539319118,1.04701266258908
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-37,0.17588736096761,0.169777175777201,1.03598943828838
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-38,0.178352202356104,0.174167084711909,1.02402932592641
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-39,0.179096305416781,0.166255039538889,1.07723835568238
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-4,0.17946835694712,0.172941993846409,1.03773729535295
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-40,0.169608991393145,0.168092675837139,1.00902071163098
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-41,0.181282108157521,0.172533630224576,1.05070592858655
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-42,0.172073832781639,0.169368812155368,1.01597118496521
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-43,0.172864442283608,0.170389721209951,1.01452388709885
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-44,0.182584288513706,0.172227357508201,1.06013522564214
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-45,0.175701335202441,0.17105331209543,1.02717295005909
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-46,0.171655274810008,0.174779630144659,0.982124030517368
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-47,0.174910725700471,0.173350357468243,1.00900124034941
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-48,0.178584734562566,0.17534113012468,1.01849882247011
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-49,0.178956786092904,0.171614812075451,1.04278170356429
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-5,0.187653490614571,0.167531175857118,1.1201108668551
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-50,0.178119670149642,0.163957994166076,1.08637380602022
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-51,0.168399823919544,0.171359584811805,0.982727777407306
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-52,0.174864219259179,0.17289094839368,1.01141338447057
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-53,0.178584734562566,0.168143721289868,1.06209576660135
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-54,0.175329283672102,0.171870039339097,1.02012709339165
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-55,0.176957009117334,0.169317766702639,1.04511778393647
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-56,0.175189764348225,0.169726130324472,1.0321908831204
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-57,0.17607338673278,0.171921084791826,1.02415237168833
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-58,0.172724922959731,0.170747039379055,1.01158370644592
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-59,0.181096082392352,0.169470903060826,1.06859690437451
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-6,0.186490829582263,0.169164630344451,1.10242211508713
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-60,0.175375790113395,0.175800539199243,0.997583914771918
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-61,0.175329283672102,0.171870039339097,1.02012709339165
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-62,0.178491721679981,0.172125266602743,1.03698733604249
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-63,0.1710971975145,0.167786403120764,1.01973219719927
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-64,0.181096082392352,0.172993039299139,1.04684028401398
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-65,0.175468802995979,0.162834994206035,1.0775865706972
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-66,0.174259635522378,0.163549630544243,1.06548473966279
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-67,0.172445884311977,0.168501039458972,1.02341139773186
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-68,0.166818604915605,0.16799058493168,0.993023537500318
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-69,0.174817712817886,0.169062539438993,1.03404168302447
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-7,0.196350195136237,0.175800539199243,1.11689188230364
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-70,0.172120339222931,0.17350349382643,0.992028087890363
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-71,0.165283892352958,0.166152948633431,0.994769540428741
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-72,0.170539120218992,0.167531175857118,1.01795453500809
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-73,0.165144373029081,0.166459221349806,0.992101078510024
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-74,0.177422073530257,0.172788857488222,1.0268143218804
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-75,0.173422519579116,0.169521948513555,1.02300923921512
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-76,0.179840408477459,0.170747039379055,1.05325637932858
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-77,0.175980373850195,0.172125266602743,1.02239710254944
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-78,0.1710971975145,0.172839902940951,0.989917227464269
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-79,0.174306141963671,0.166510266802535,1.04681918605284
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-8,0.188211567910079,0.16865417581716,1.11596150524089
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-80,0.173515532461701,0.172074221150014,1.00837610248679
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-81,0.171004184631915,0.166969675877097,1.02416312263664
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-82,0.165097866587788,0.166561312255264,0.991213771987864
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-83,0.164353763527111,0.167633266762576,0.980436441412849
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-84,0.161656389932156,0.165080994126118,0.979255006234419
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-85,0.168585849684714,0.172482584771847,0.977407950534324
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-86,0.169097420538929,0.166561312255264,1.0152262746332
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-87,0.168585849684714,0.174830675597388,0.964280719665833
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-88,0.170725145984161,0.170849130284514,0.999274305346792
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-89,0.166679085591728,0.168858357628076,0.987094082478592
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-9,0.18304935292663,0.170695993926326,1.07237052678363
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-90,0.166353540502682,0.176974584612013,0.939985483607058
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-91,0.168446330360837,0.170287630304493,0.989187118639423
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-92,0.176817489793457,0.170236584851764,1.03865740696939
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-93,0.165004853705204,0.168909403080805,0.976883765471993
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-94,0.169143926980222,0.165489357747951,1.02208340936241
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-95,0.169981042923484,0.165080994126118,1.02968269499045
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-96,0.173236493813947,0.166969675877097,1.0375326711508
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-97,0.158912509895908,0.169981357588118,0.93488199030019
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-98,0.169422965627976,0.164621585051556,1.02916616660517
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,-99,0.172817935842316,0.168194766742597,1.02748699730233
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,0,0.183188872250507,0.172482584771847,1.06207170128406
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,1,0.188909164529464,0.172686766582764,1.09394117608268
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,10,0.17528277723081,0.171563766622722,1.02167713312256
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,100,0.162633025199295,0.171257493906347,0.949640342677392
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,11,0.1844445461654,0.16804163038441,1.09761221516042
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,12,0.179328837623243,0.167275948593472,1.07205392724487
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,13,0.178445215238689,0.164162175976993,1.08700566483535
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,14,0.189467241824972,0.170900175737243,1.10864275596928
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,15,0.188397593675248,0.16987926668266,1.10900875282904
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,16,0.18286332716146,0.168143721289868,1.0875418110095
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,17,0.177794125060596,0.162630812395118,1.09323763708834
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,18,0.184119001076353,0.169521948513555,1.08610715421095
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,19,0.184072494635061,0.166459221349806,1.1058113401134
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,2,0.193699327982574,0.170032403040847,1.13919067494472
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,20,0.180026434242628,0.170389721209951,1.0565568918374
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,21,0.186118778051924,0.166408175897076,1.11844731815965
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,22,0.188769645205587,0.16926672124991,1.11522007286289
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,23,0.181421627481398,0.170338675757222,1.06506421207578
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,24,0.188072048586202,0.174677539239201,1.07668134898934
ERD,Hela_CPD_DS_NA_early_12_NA,HeLa_S3,CPD,Damage_seq,early,0,_,-,25,0.177654605736719,0.164672630504285,1.07883505105055
