chromosomes,start_position,end_position,dataset,score,dataset_strand,product,phase,time_after_exposure,sample_strand,replicate,real_sim
chr1,4250000,5700000,LRD,-1.1119,.,64_PP,early,12,+,_,0.831603383059302
chr1,6200000,6900000,ERD,0.5449,.,64_PP,early,12,+,_,0.633218815232665
chr1,8050000,10450000,ERD,0.6391,.,64_PP,early,12,+,_,0.796458600533093
chr1,13000000,15150000,LRD,-1.1582,.,64_PP,early,12,+,_,1.07555073569089
chr1,15550000,17900000,ERD,0.6678,.,64_PP,early,12,+,_,0.699850239075359
chr1,19800000,20250000,ERD,0.6849,.,64_PP,early,12,+,_,0.880805835563188
chr1,20900000,22500000,ERD,0.579,.,64_PP,early,12,+,_,0.812272153233295
chr1,23250000,25200000,ERD,0.7598,.,64_PP,early,12,+,_,0.858970393052231
chr1,25600000,29850000,ERD,0.6799,.,64_PP,early,12,+,_,0.80560534934679
chr1,30200000,30950000,LRD,-0.8799,.,64_PP,early,12,+,_,0.953084061644431
chr1,31300000,33600000,ERD,0.7206,.,64_PP,early,12,+,_,0.782716890296402
chr1,34200000,35000000,LRD,-1.0765,.,64_PP,early,12,+,_,0.929432106797515
chr1,36150000,37000000,ERD,0.8944,.,64_PP,early,12,+,_,0.802278724684919
chr1,44550000,46900000,ERD,0.7984,.,64_PP,early,12,+,_,0.741191371901327
chr1,48900000,50600000,LRD,-1.0536,.,64_PP,early,12,+,_,0.849270850168605
chr1,51500000,55750000,ERD,0.5968,.,64_PP,early,12,+,_,0.842387837222951
chr1,58350000,58700000,LRD,-1.2204,.,64_PP,early,12,+,_,1.16790795053021
chr1,60550000,61150000,LRD,-1.3512,.,64_PP,early,12,+,_,0.93743943125941
chr1,71200000,72600000,LRD,-0.7827,.,64_PP,early,12,+,_,0.962526260175945
chr1,73700000,75200000,LRD,-0.6576,.,64_PP,early,12,+,_,0.994238560902147
chr1,75250000,76000000,LRD,-1.1929,.,64_PP,early,12,+,_,0.766530489069485
chr1,76050000,76600000,LRD,-0.5141,.,64_PP,early,12,+,_,0.871981791124957
chr1,76650000,77600000,LRD,-1.3066,.,64_PP,early,12,+,_,0.90491670209791
